Complexity,Loss,Equation
1,1.7666587e-5,"-0.0047448757"
3,3.6678498e-6,"w1 * -0.0097464025"
5,3.6137303e-6,"(w1 * -0.009307846) + -0.0003577806"
7,1.9275876e-6,"w1 * ((w1 * 0.008192111) + -0.015827214)"
9,1.4269559e-6,"(w1 * ((w1 * 0.00972756) + -0.015552364)) + -0.0011536556"
13,1.2886978e-6,"(((w1 * 0.9843739) + ((w2 * w2) * -0.0034150658)) - -0.0066624377) - w1"
15,1.2878885e-6,"(w1 * 0.9843739) + ((((w2 * w2) * -0.0034150658) - -0.0066624377) - (w1 - t))"
17,1.2131054e-6,"((w1 * 0.9844594) + (((w2 * ((w2 + 0.053804982) * -0.0033963926)) - -0.0065841773) - w1)) + t"
19,1.1158113e-6,"((w1 * ((w2 * (w2 * ((-0.0044842735 + w2) * (w2 * -0.0021766252)))) + 0.99218386)) - 0.0004892938) - w1"
21,1.0634166e-6,"((w1 * ((w2 * (w2 * (((w1 * 0.98244727) + w2) * (w2 * -0.0021766252)))) + 0.99218386)) - 0.0004892938) - w1"
