Complexity,Loss,Equation
1,1.4138727e-5,"-0.0050525526"
3,3.0315155e-6,"w1 * -0.009871406"
5,2.9754544e-6,"(w1 * -0.009334357) + -0.0004055862"
7,1.3387745e-6,"w1 * ((w1 * 0.0104280375) + -0.017447833)"
9,1.0875881e-6,"(w1 * ((w1 * 0.011228609) + -0.01687022)) + -0.00087549916"
11,1.0871498e-6,"(t + (w1 * ((w1 * 0.011225749) + -0.016865633))) + -0.0008926369"
13,9.798625e-7,"(((w1 * -0.0186033) + (w2 * (w2 * -0.0045352266))) + 0.008879167) - t"
15,9.794243e-7,"(w1 * -0.018591864) + ((((w2 * w2) * -0.004532493) + -0.5701464) - (-0.5789852 - t))"
17,9.736865e-7,"(w1 * -0.018570809) + ((((w2 * w2) * -0.004511669) + 0.008827496) - (1.3937591e-7 / (w1 + t)))"
19,9.736652e-7,"((w1 * -0.018589238) + (((w2 * w2) - t) * -0.004523581)) + (0.008847699 - (1.4019557e-7 / (w1 + t)))"
21,9.707852e-7,"((w1 * -0.018570809) + ((w2 * ((w2 + (t - -0.004511669)) * -0.004511669)) + 0.008827496)) - (1.3937591e-7 / (w1 + t))"
23,9.67791e-7,"((w1 * -0.018570809) + (((w2 * (w2 + (t + t))) * -0.004511669) + 0.008827496)) - (1.3937591e-7 / (w1 + (-0.7780648 * -0.11935578)))"
