Complexity,Loss,Equation
1,3.954725e-5,"-0.0007465461"
3,3.0362612e-6,"w1 * -0.009471016"
5,3.0157455e-6,"(-0.0152334515 - w1) * 0.009448804"
7,3.0144872e-6,"-0.00014309307 - (w1 * (t + 0.0094404))"
9,1.6304278e-6,"(((w2 * w2) * -0.003607539) - 0.0077793263) * w1"
11,1.6068517e-6,"(w1 + 0.012842871) * (((w2 * w2) * -0.003605821) - 0.007761455)"
13,1.2767158e-6,"(-0.008355058 - ((w2 * (w2 * w2)) * (w2 * 0.0023186519))) * w1"
15,1.1832747e-6,"(-0.008499286 - (((w2 * w2) * w2) * ((w2 + w1) * 0.0022463743))) * w1"
17,1.1649026e-6,"(-0.008503983 - ((w1 + (w2 + -0.11793666)) * (((w2 * w2) * w2) * 0.002293332))) * w1"
19,9.993372e-7,"((w2 + w1) * (((0.09393815 - (w1 * w2)) * w2) * (w2 * 0.002542979))) - (w1 * 0.00845791)"
21,9.694403e-7,"((w2 + (w1 - 0.12421901)) * ((((0.09339716 - (w1 * w2)) * w2) * w2) * 0.0026022296)) - (w1 * 0.0084616495)"
23,9.607771e-7,"((((w2 * (w2 + w1)) * (0.13293175 - w2)) * ((0.09465645 - (w1 * w2)) * -0.30947646)) + (-0.013929277 - w1)) * 0.00844377"
25,9.591896e-7,"((((w2 * ((w2 + w1) * (0.13779369 - w2))) * (0.09458579 - (w1 * w2))) * -0.3093528) + (-0.013501345 - w1)) * (t + 0.008437362)"
27,9.183204e-7,"(((w1 + w2) * ((w2 * (0.12463616 - w2)) * ((0.1010383 - (w1 * w2)) * -0.3220527))) + (-0.0059620747 - w1)) * ((t / 0.018909441) + 0.007953613)"
