Complexity,Loss,Equation
1,1.1542866e-5,"0.0052678073"
3,3.4543523e-6,"w1 * -0.009821678"
5,3.1349814e-6,"(w1 * -0.008458571) + 0.0010048237"
7,1.4840806e-6,"w1 * ((w1 * -0.012559375) + -0.019153677)"
9,1.1025919e-6,"(w1 * (0.010395087 / (w1 - 0.66951627))) + 0.0016669926"
15,1.1017385e-6,"((t - 2.0906568) * ((-0.003240374 / (w1 - 0.6666259)) - (t * -6.740471))) + 0.012154815"
17,1.0687063e-6,"((t - 1.5345697) * (((-0.0006058029 / (w1 - 0.8221281)) - (t * -10.695273)) / 0.09453884)) + 0.01528131"
19,1.0526393e-6,"((w1 * (0.009901887 / (w1 - 0.6420482))) - (((-0.87811744 * w2) - 7.631567) * (t * -5.0163383))) + 0.0022185878"
21,1.0325693e-6,"((((w1 * 0.0019233936) / ((w1 / 1.6237205) - 0.48870528)) - ((t * -1.7469274) / (t - 0.024841025))) + 0.0011909136) / 0.27505305"
23,1.0153663e-6,"(((((w1 * 0.0010245626) / ((w1 / 1.0770702) - 0.5893299)) - (t * (-0.7131832 / (t - 0.044553574)))) + 0.00039175604) / 0.11616257) + t"
