Complexity,Loss,Equation
1,3.9020793e-5,"0.0010881207"
3,3.0651877e-6,"w1 * -0.009359854"
5,3.0624815e-6,"(w1 * -0.009357165) + t"
7,2.993359e-6,"((4.002535e-10 / t) + w1) * -0.00938367"
9,1.6785685e-6,"(((w2 * w2) * -0.0034867567) - 0.007698022) * w1"
11,1.6562963e-6,"((((w2 + -0.09679981) * -0.0035653198) * w2) - 0.007711752) * w1"
13,1.3067349e-6,"w1 * ((w2 * (w2 * (w2 * (w2 * -0.0022270568)))) - 0.008254793)"
15,1.1865525e-6,"w1 * ((((w2 * w2) * ((w2 + w1) * w2)) * -0.0022214286) - 0.008412822)"
17,1.1533946e-6,"w1 * (((w2 * (w2 * (w2 + (w1 / 1.4812429)))) * (w2 * -0.0023108334)) - 0.008322111)"
19,1.1434744e-6,"w1 * ((((w2 * w2) * (((w1 / 1.6379445) + (w2 + -0.08794654)) * w2)) * -0.0023645284) - 0.008314901)"
21,9.942088e-7,"(w1 * (((w2 * (w2 + w1)) * ((w2 * w2) * -0.0023768013)) - 0.008287555)) + ((w2 * t) / 0.018112874)"
23,9.72021e-7,"(w1 * ((((w2 * (w2 + w1)) * w2) * ((w2 + -0.124010116) * -0.00243779)) - 0.008279478)) + (t * (w2 / 0.017542006))"
25,9.702442e-7,"((w1 * (((w2 * (w2 + w1)) * (w2 * ((w2 + -0.12411754) * -0.0024430319))) - 0.008286174)) + (t * (w2 / 0.017015545))) + -3.941271e-5"
