Complexity,Loss,Equation
1,3.979335e-5,"0.00067182205"
3,2.8561199e-6,"w1 * -0.009508293"
5,2.8520242e-6,"(w1 * -0.0095048975) + t"
7,2.8145596e-6,"w1 * ((2.7832498e-6 / w2) + -0.009524822)"
9,1.5390824e-6,"w1 * (-0.00786869 - ((w2 * w2) * 0.0035624201))"
11,1.5248125e-6,"w1 * (((w2 * -0.003601599) * (w2 + -0.07717013)) - 0.007874686)"
13,1.23562e-6,"(-0.008436205 - ((w2 * (w2 * (w2 * 0.002316439))) * w2)) * w1"
15,1.1704295e-6,"w1 * (-0.008568515 - ((w2 * ((w2 * w2) * (w2 + w1))) * 0.0022130073))"
17,1.1267514e-6,"(-0.008473994 - (w2 * (((w1 / 1.6968327) + w2) * ((w2 * 0.00234897) * w2)))) * w1"
19,9.165947e-7,"(-0.008524368 - ((((w2 * w2) * (w2 + (-0.1134845 / w1))) * (w2 + w1)) * 0.0025670845)) * w1"
21,9.0424055e-7,"(-0.008520966 - (w2 * ((w2 - 0.092544675) * ((w2 + (-0.11529767 / w1)) * ((w2 + w1) * 0.002605067))))) * w1"
23,8.449355e-7,"w1 * (-0.008736804 - (w2 * ((w2 * (w2 * (w2 * ((w2 + (-0.097650446 / w1)) * (w2 + w1))))) * 0.0014218183)))"
25,8.1343285e-7,"w1 * (-0.00873804 - (((w2 * ((w2 + (w1 - 0.14546247)) * (w2 * w2))) * (w2 * (w2 + (-0.10122716 / w1)))) * 0.001470576))"
27,7.9658207e-7,"w1 * ((-0.008176227 - ((w2 * w2) * (w2 * (((-0.09596084 / w1) + w2) * ((w1 + w2) * (w2 * 0.0014298962)))))) - (t / 0.019569904))"
29,7.7216345e-7,"w1 * (((-0.00017415266 - (w2 * ((w2 * w2) * ((w2 + (-0.101555586 / w1)) * (((w2 + w1) - 0.13274236) * (w2 * 3.1111e-5)))))) - t) / 0.021181637)"
