Complexity,Loss,Equation
1,1.7666582e-5,"-0.004744942"
3,3.6678505e-6,"w1 * -0.009747042"
5,3.6137303e-6,"(w1 * -0.009307292) - 0.00035809202"
7,1.927587e-6,"(-0.01582758 - (w1 * -0.008192611)) * w1"
9,1.4269559e-6,"((-0.015552509 - (w1 * -0.009727988)) * w1) - 0.0011537425"
11,1.2886991e-6,"(w1 * -0.015626213) - (((w2 * 0.0034151147) * w2) + -0.006662563)"
13,1.2878534e-6,"(w1 * -0.015621518) - ((w2 * (w2 * 0.0034138083)) + (-0.0066531096 - t))"
15,1.2824008e-6,"(w1 * -0.015598083) - ((w2 * ((w2 * 0.0034097456) + (t + t))) + -0.0066366117)"
17,1.1496952e-6,"(w1 * -0.014336841) - (((w2 * 0.003039972) * (((w1 + -1.5123973) * -0.107892275) + w2)) + -0.005470782)"
29,1.1361982e-6,"(w1 * -0.014225799) - (((w2 * 0.003026572) * (((t + t) * (((t + t) + w1) + 0.12792762)) + (((w1 + -1.0085721) * -0.17289647) + w2))) + -0.0053856894)"
