Complexity,Loss,Equation
1,1.4138727e-5,"-0.0050525526"
3,3.0315157e-6,"w1 * -0.009871418"
5,2.9754542e-6,"(w1 * -0.009334294) - 0.00040561557"
7,1.3387745e-6,"((w1 * 0.010426697) - 0.0174469) * w1"
9,1.087588e-6,"(((w1 * 0.011228464) - 0.016870232) * w1) + -0.00087541854"
11,9.796431e-7,"(((w2 * w2) * -0.0045339214) + (w1 * -0.018597923)) + 0.008859233"
13,9.796416e-7,"((w2 * (w2 * -0.00453394)) + -0.33852535) + ((w1 * -0.018597936) - -0.34738454)"
15,9.796406e-7,"(((w2 * w2) * 0.00092512934) + (((w1 * 0.0037948089) - -0.34205112) + -0.3438588)) / -0.20404504"
19,9.786778e-7,"(w2 * (w2 * -0.0045318906)) + ((w1 * (-0.01859269 - (w1 * (t * (w2 + t))))) + 0.0088541005)"
21,9.742123e-7,"(((w1 * 0.047028717) + w2) * ((((-0.0036679846 - t) * -0.30118096) + w2) * -0.00457689)) + ((w1 * -0.01878353) - -0.008997604)"
23,9.738093e-7,"(((w1 * 0.04702656) + w2) * ((((-0.0036679776 - t) * t) * -0.30118096) + (w2 * -0.004561483))) + ((w1 * -0.01869643) - -0.008942153)"
25,9.544208e-7,"(((w2 * (w2 * w1)) * ((w2 + 0.41907093) * ((w2 * -0.002984723) + 0.0013250017))) + ((w1 * -0.008113692) - -0.32621717)) + (t + -0.32668966)"
27,9.5113654e-7,"((w1 * -0.016604275) + (((((w1 * (w2 - -0.5181485)) * 0.37045953) + w2) * (((t / t) * 0.00020332228) + (w2 * -0.0035932115))) - -0.03108615)) + -0.023797536"
29,9.487644e-7,"(-0.016604275 * w1) + ((((((w1 * (w2 - (w1 / -1.5319825))) * 0.37045953) + (w2 * (t / t))) * (0.00020332228 + (w2 * -0.0035932115))) - -0.03108615) + -0.023797536)"
