Complexity,Loss,Equation
1,3.979335e-5,"0.0006723818"
3,2.8561199e-6,"w1 * -0.009508161"
5,2.8520242e-6,"t + (w1 * -0.009504809)"
7,2.8159186e-6,"((0.00028338603 / w2) + w1) * -0.009523499"
9,1.6337341e-6,"w1 * (((w1 * w1) * 0.008139109) - 0.014539677)"
11,1.6322235e-6,"t - ((((w1 * w1) * -0.008129652) - -0.0145308) * w1)"
13,1.6185534e-6,"w1 * ((t * 29.540745) - ((w1 * (w1 * -0.00838517)) - -0.015012737))"
15,1.3202499e-6,"(((w1 * w1) * (((w1 * w1) * -0.015973905) - -0.025484554)) - 0.018445058) * w1"
17,1.3185922e-6,"((((w1 * (((w1 * w1) * -0.01597906) - -0.025481576)) * w1) - 0.018437918) * w1) + t"
19,1.3000922e-6,"(((w1 * (((w1 * (w1 * 0.00031943002)) - (0.0004936506 - t)) * w1)) - -0.0003291881) * w1) * -57.04187"
21,1.2418474e-6,"(((w1 * ((w2 * 1.8282042e-5) - ((0.00046243612 - (w1 * (w1 * 0.00029328355))) * w1))) - -0.0003315838) * w1) * -56.030834"
23,1.1256924e-6,"((w1 * (w1 * (((w1 * ((w1 * (w1 * -0.0008057001)) - -0.0016088668)) * w1) - 0.0010856945))) - -0.0004059124) * (w1 * -56.005287)"
25,1.1243768e-6,"(((w1 * (((((((w1 * w1) * -0.0005339823) - -0.0010664818) * w1) * w1) - 0.0007197292) * w1)) - -0.00026909047) * (w1 * -84.44495)) + t"
27,1.1224748e-6,"(t + ((w1 * -110.17392) * ((((((((w1 * w1) * -9.540611e-5) - -0.00019070714) * w1) * w1) - 0.00012876403) * (w1 * w1)) - -4.815609e-5))) / 0.23384024"
29,1.1184487e-6,"((t * w2) + ((((w1 * w1) * (((((w1 * w1) * -2.8082168e-5) - -5.6043886e-5) * (w1 * w1)) - 3.7787006e-5)) - -1.4137167e-5) * (w1 * -228.5376))) / 0.14258324"
