Complexity,Loss,Equation
1,1.728584e-6,"0.0062505826"
3,1.1894144e-6,"1.2971803e-7 / t"
5,1.4719335e-7,"(w1 * -0.004770422) + 0.0034468677"
7,4.5592092e-8,"((w1 * -8.7718945e-8) + 7.6863216e-8) / t"
9,4.018139e-8,"((w1 * -0.0041451068) + -0.0017198201) + (1.1431266e-7 / t)"
13,4.0161634e-8,"(2.7622275e-5 - (t * (w1 - -0.41849357))) * ((0.0041077756 / t) - -2.0131557)"
15,3.9963425e-8,"((0.004177571 / t) - (w1 * w1)) * (2.74794e-5 - (t * (w1 - -0.41849357)))"
17,3.8949985e-8,"(w1 + ((w1 * w1) - ((w1 * (-7.244158e-5 / t)) + (6.075703e-5 / t)))) * -0.0012011221"
19,3.854129e-8,"((((w1 * w1) - ((5.138853e-5 / t) + ((w1 * -6.928836e-5) / t))) + w1) * -0.001266668) - -0.00034981125"
21,3.8342165e-8,"((w1 + (((w1 * 1.6488528e-5) / t) * w1)) - ((w1 * (-5.7992947e-5 / t)) + (5.1943403e-5 / t))) * -0.0014083077"
23,3.5672386e-8,"((((w1 + (3.7609483e-5 / t)) * (w1 * w1)) - (((w1 / t) * -6.113414e-5) + (3.531956e-5 / t))) * -0.0020802764) - t"
25,3.4517367e-8,"(w1 + ((((w1 + 1.6324106) * (w1 * (w1 * (7.0723894e-5 / t)))) - (w1 * (-0.00011280493 / t))) + (-6.7168374e-5 / t))) * -0.0010750452"
27,3.4497607e-8,"((((w1 + (((((w1 + 1.6087923) * w1) * w1) * 7.7798475e-5) / t)) - (w1 * (-0.000119438904 / t))) + (-6.9337075e-5 / t)) * -0.0010348512) + t"
29,3.4495464e-8,"(w1 + (((((w1 * w1) / 0.24300325) * ((w1 + 1.6017416) * (2.241206e-5 / t))) - ((w1 * -0.00014281132) / t)) + (-8.094311e-5 / t))) * (-0.0008704691 - t)"
