Complexity,Loss,Equation
1,1.0571013e-5,"0.0052435445"
3,3.41696e-6,"w1 * -0.008641745"
5,3.163184e-6,"(0.1260504 - w1) * 0.0074732737"
7,3.0719405e-6,"((w2 * 0.1260504) - w1) * 0.0074732737"
9,1.9183517e-6,"(w1 + 1.7278501) * ((-0.00059939176 - w1) * 0.009947411)"
11,1.91379e-6,"(w1 * (((0.78918034 - w1) * 0.003566088) + -0.008825668)) * 2.906336"
13,1.2492958e-6,"(((4.0405113e-5 / ((w1 - 0.37534806) * 0.0039385348)) - 1.3193567e-5) - t) * w1"
17,1.1933116e-6,"((((-0.0093458 / (0.0045625013 + w2)) + -0.0090969065) - ((w1 * 0.01303184) - t)) * w2) * w1"
19,1.1906639e-6,"((((-0.009513316 / (w2 + 0.0057782102)) + -0.008892929) - ((w1 * 0.013129204) - (t - t))) * w2) * w1"
25,1.1314421e-6,"w2 * (((0.007731194 / w2) + 0.0057435078) - (((t / t) - (0.4712094 / ((0.2851246 - w1) * (t - 2.177912)))) * (0.0056331633 - t)))"
27,8.7082026e-7,"w2 * ((0.008107373 / (w2 + 0.004439612)) + ((-0.00010329515 - ((((t / t) - 1.2994943) / ((0.29181126 - w1) * (t - 2.4165044))) * 0.010211222)) - t))"
