Complexity,Loss,Equation
1,3.9020793e-5,"0.0010881181"
3,3.0651877e-6,"w1 * -0.009359854"
5,3.0624815e-6,"(w1 * -0.009357166) + t"
7,3.0026256e-6,"(w1 * (t + 8.6254244e-5)) / -0.0098535335"
9,1.6785685e-6,"w1 * ((w2 * (w2 * -0.003486756)) + -0.0076980237)"
11,1.6562964e-6,"w1 * (((w2 + -0.09687196) * (w2 * -0.0035649475)) + -0.0077120014)"
13,1.3067349e-6,"w1 * ((((w2 * (w2 * w2)) * w2) * -0.0022269338) + -0.008254941)"
15,1.1865526e-6,"((((w2 * w2) * (w2 * -0.002221424)) * (w2 + w1)) + -0.0084126135) * w1"
17,1.1533949e-6,"w1 * (((w2 * (w2 * (w2 * -0.002310633))) * ((w1 * 0.6738865) + w2)) + -0.008322159)"
19,1.0432767e-6,"((w2 * 0.021199796) - w1) * ((((w2 * (w2 * w2)) * (w2 + w1)) * 0.0024005207) + 0.008316866)"
21,1.0108079e-6,"(w2 * 0.0005107627) - (w1 * ((w2 * (((0.41111416 - (w2 * (w1 + w2))) * -0.0030127545) * w2)) + 0.008560982))"
23,9.369947e-7,"(w1 + (w2 * -0.018718576)) * (((((w2 * w2) * w2) * (w2 * -0.0013125931)) * ((w1 + w2) * w2)) + -0.008533335)"
25,9.0151025e-7,"(w1 * (((w2 * (w2 + w1)) * (((((w2 * w2) * w2) + w1) * w2) * -0.0012593884)) + -0.008314197)) + (w2 * 0.00053215737)"
27,8.819983e-7,"(w2 * 0.0005579588) + (w1 * (((((w2 * (w2 * w2)) + w1) * w2) * ((((w2 + w1) * -0.0013007063) + 0.00016602052) * w2)) + -0.008296404))"
29,8.6737685e-7,"(w2 * 0.00068351935) + (w1 * (((w1 + (w2 * (w2 * w2))) * ((w2 * ((w1 * 1.4778001) + w2)) * ((w2 * -0.0012623955) + 0.000120553945))) + -0.008219141))"
