Complexity,Loss,Equation
1,1.728584e-6,"0.006250531"
3,1.1894144e-6,"1.2971728e-7 / t"
5,1.4719335e-7,"(w1 * -0.0047704843) + 0.0034468265"
7,4.5592124e-8,"((w1 * -8.771321e-8) + 7.686785e-8) / t"
9,4.03075e-8,"((-1.8965998 - w1) * (t * 190.05978)) + 0.0114457"
11,3.968987e-8,"(((w2 * -0.13564087) - w1) * (t * 190.05959)) + 0.0041155987"
13,3.9689404e-8,"(((w2 * -0.13601719) - w1) * (t * 190.05939)) + (t - -0.004095271)"
15,3.968935e-8,"(((((w2 * -0.13601719) - w1) * (t * 190.05939)) + -0.077222705) - -0.081317976) + t"
17,1.8220279e-8,"(((w1 / (w1 + -0.09725297)) + -20.661674) * (t * (w2 - (w1 * -9.2319765)))) + 0.004167199"
19,1.5429187e-8,"(((w1 / (w1 + -0.10120765)) + -20.661747) * (t * (w2 - ((w1 + 0.38928664) * -9.232143)))) + 0.005674999"
21,1.1312451e-8,"(((w2 - ((w1 + 0.38928702) * -9.232143)) * t) * (((w1 / (w1 + -0.10094417)) + w2) + -20.904985)) + 0.005637068"
23,9.4941655e-9,"((t * (w2 - ((w1 + 0.3895012) * -9.232138))) * ((((w1 * 0.7671825) / (w1 + -0.09956151)) + w2) + -20.661745)) + 0.0056343614"
25,7.555274e-9,"((w2 - ((w1 + 0.3895012) * -9.232138)) * (t * ((w2 * (((0.4645636 * w1) / (w1 + -0.09895694)) + w2)) + -20.904985))) + 0.00562042"
27,6.937501e-9,"((w2 - ((w1 + 0.39414585) * -9.232138)) * (t * ((w2 * (w2 + (w1 * (w2 + (0.4645636 / (w1 + -0.09895694)))))) + -20.661749))) + 0.00562042"
29,6.9021437e-9,"((((0.029085007 + w2) - ((w1 + 0.3895012) * -9.232138)) * t) * ((w2 * ((w1 * (w2 + (0.4645636 / (w1 + -0.09895694)))) + w2)) + -20.661749)) + 0.00562042"
