Complexity,Loss,Equation
1,8.790544e-7,"0.007501411"
3,8.790498e-7,"0.0075018927 - t"
4,8.7380363e-7,"sqrt(t) - -0.0068492233"
5,8.6848036e-7,"(0.001976761 / w1) + 0.009587232"
6,8.6136885e-7,"(sqrt(t) * 0.5258915) - -0.0071585244"
7,3.8063914e-7,"0.008803306 - (2.9151919e-5 / sqrt(sqrt(t)))"
9,1.7687937e-7,"w1 * (-0.0095459195 - (-3.6364887e-5 / sqrt(sqrt(t))))"
11,1.6477034e-7,"((w1 * -0.01192014) / 1.232338) - (3.769705e-5 / sqrt(sqrt(t)))"
12,1.520191e-7,"((w2 * 0.9983868) + 0.008547921) + ((-0.00015065412 / sqrt(w2)) - w2)"
13,1.1409297e-7,"(-0.0013347875 / sqrt(sqrt(w2))) + ((0.0105846515 - w2) + (w2 * 0.9971358))"
15,1.1407914e-7,"((((1.0003253 * w2) + (0.00015165834 / sqrt(sqrt(w2)))) + -0.0012027393) - w2) / -0.113646746"
16,6.386604e-8,"((w2 + (-0.3244918 / (w2 / (sqrt(t) - 1.1718931e-5)))) + 0.009358449) - (w2 * 1.00258)"
23,5.3614226e-8,"(((t + w2) + ((((7.233285e-10 / w2) / sqrt(t)) + -0.2618659) / (w2 / sqrt(t)))) - (w2 * 1.0022944)) + 0.009107812"
