Complexity,Loss,Equation
1,3.785168e-5,"0.0013493148"
3,2.9495864e-6,"w1 * -0.009433874"
5,2.9472528e-6,"4.937823e-5 - (w1 * 0.009417208)"
7,2.8672653e-6,"(w1 * -65.18297) * (t - -0.00013500376)"
9,2.8646825e-6,"(w1 * -6.532393) * ((t - -0.000113720635) / 0.08547906)"
13,1.7569615e-6,"((((-0.9296794 - w1) * -0.007374374) * (w1 - 0.97415024)) - 0.0074620713) * w1"
15,1.6142263e-6,"((((0.14998038 - w2) * w2) * (w1 * 0.0010138759)) / 0.28111702) - (w1 * 0.007840296)"
21,1.5973858e-6,"((w1 - t) * -0.007979671) / ((((w2 * -0.27804333) * (w2 / 0.9139626)) + 0.0014171911) + (w1 / (t + w1)))"
23,1.3817136e-6,"(-0.0067959446 * (-0.96999234 * (w1 * -1.2105057))) / ((((w2 * -0.025106113) * w2) / 0.095743656) + ((w1 + 0.0014171911) / (t + w1)))"
25,1.3771961e-6,"((((w1 * -1.2105057) - t) * -0.96999234) / (((w2 * (-0.025106113 * w2)) / 0.095743656) + ((w1 + 0.0014171911) / w1))) * (-0.0067959446 - t)"
