Complexity,Loss,Equation
1,1.7285842e-6,"0.0062506683"
3,1.1894144e-6,"1.2971374e-7 / t"
5,1.4719338e-7,"(w1 * -0.0047704796) + 0.0034468307"
7,4.5593e-8,"(7.684561e-8 - (w1 * 8.777455e-8)) / t"
9,4.1182716e-8,"(0.0038973028 - (w1 * 0.0041514835)) - (w2 * 0.0003993284)"
11,4.1178176e-8,"0.0039179665 - ((w1 * 0.004151107) - ((w2 * -0.00039789677) - t))"
13,3.8456463e-8,"0.004080193 - ((w1 * 0.0038875958) - ((w2 * -0.0004860434) / (0.801491 - w1)))"
15,3.8453667e-8,"0.0040778774 - ((w1 * 0.0038939766) - (w2 * (0.8531281 * (-0.0005851241 / (0.8331059 - w1)))))"
17,3.8424023e-8,"(t * 0.30006084) + (0.004080193 - ((w1 * 0.0038875958) - ((w2 * -0.0004860434) / (0.801491 - w1))))"
21,3.2659116e-8,"(t + 0.0041738576) - ((w1 * 0.0037175475) - ((w2 * (-0.054622117 / ((0.77174693 / (w1 + -0.61452365)) + 1.9261203))) * 0.008366431))"
23,3.2648565e-8,"((t / 0.79112726) + 0.0041738576) - ((w1 * 0.0037175475) - (w2 * ((-0.054622117 / ((0.77174693 / (w1 + -0.61452365)) + 1.9261203)) * 0.008366431)))"
