Complexity,Loss,Equation
1,3.1990392e-6,"0.005979557"
3,2.4299416e-6,"w1 * -0.00857968"
5,6.1817536e-7,"(w1 * -0.0049236408) + 0.0029058577"
7,6.1810334e-7,"(t - (w1 * 0.0049255043)) - -0.002903171"
8,5.8291e-7,"(sqrt(t) * w2) - (w1 * 0.0075600436)"
10,5.5606176e-7,"((w1 * -0.0065008644) + sqrt(t + t)) - -0.00035654174"
12,5.5583325e-7,"((-0.006607404 * w1) - -0.00018384364) + sqrt(t - (t * -1.2812762))"
16,5.558308e-7,"((w1 * -0.006607306) - ((w2 + -0.00018342264) - w2)) + sqrt(t - (t * -1.2812762))"
18,5.5581614e-7,"(((w1 * -0.006607404) - (w2 + (-0.00018384364 - w2))) + sqrt(t - (t * -1.2812762))) - t"
21,5.5195875e-7,"(((((t - t) + -0.0045068287) * ((-8.163048e-5 / (sqrt(t) - w1)) + w1)) + sqrt(t)) - -0.00023850169) * 1.4398683"
25,5.5183216e-7,"(((((t - t) + -0.0048804698) * ((((w1 * 0.005545991) + -0.00013844982) / (sqrt(t) - w1)) + w1)) + sqrt(t)) * 1.3140043) - -0.00048130951"
28,5.505053e-7,"(((((t * (w1 * 0.26064938)) - -5.9735852e-5) + (((((w1 + -0.067238875) + (w2 * 0.08378636)) * -0.0030478903) + sqrt(t)) - 0.00020442199)) + t) + t) * 2.1240034"
