Complexity,Loss,Equation
1,3.794827e-5,"0.0013727761"
3,2.933427e-6,"w1 * -0.009448961"
5,2.930709e-6,"5.3413438e-5 - (w1 * 0.009430877)"
7,2.8319896e-6,"((t - -8.738711e-5) * w1) * -97.279785"
9,2.7709686e-6,"(t - -8.636298e-5) * ((w1 * -97.79658) - -1.9844118)"
11,2.7181097e-6,"0.0065178047 - (t * (148.57475 * ((w1 * 4.236986) + 2.9017737)))"
13,2.695782e-6,"t + (0.0059507187 - (((w1 * 4.019064) + 2.2944765) * (t * 163.84816)))"
14,2.6770977e-6,"0.0060783443 - ((w1 + sqrt((w1 - -1.2052174) * 0.58685225)) * (t * 478.39136))"
15,2.5020283e-6,"(t - w1) * ((t + -0.00081493414) * ((w1 * (w1 + w1)) + -13.181601))"
17,1.6561422e-6,"t - ((w1 * (((w1 + w1) * (w1 / 0.1932129)) + -18.709713)) * (t + -0.0007836543))"
20,1.6543228e-6,"((w1 * (w1 + (w1 + w1))) + -5.400156) * ((sqrt(t) - w1) * ((t + -0.0012379646) / 0.45728824))"
25,1.5719388e-6,"(((w1 + (w1 + w1)) * w1) + ((w1 * ((w1 * w2) * w2)) + -5.715878)) * ((t - w1) * (-0.002679654 + t))"
27,1.5395833e-6,"(((w1 + (w1 + w1)) * w1) + ((w1 * (w2 * (w2 * (w1 + t)))) + -4.6484933)) * ((t - w1) * (t + -0.0036728834))"
29,1.5180009e-6,"((((w1 + w1) + w1) * w1) + ((w1 * (w2 * ((w1 + t) * w2))) + -4.812037)) * (((t - w1) * (t + -0.0014467477)) / 0.42405507)"
30,1.5141502e-6,"((((w2 * ((w1 + t) * w1)) * w2) + (w1 * (w1 + (w1 + w1)))) + -4.812037) * (((sqrt(t) - w1) * (t + -0.0014467477)) / 0.42405507)"
