Complexity,Loss,Equation
1,3.6626287e-5,"-0.0020064898"
3,2.8647853e-6,"w1 * -0.009141805"
5,2.5856054e-6,"(w1 * -0.008944971) + -0.0005446899"
7,2.5841152e-6,"((w1 + 0.06052298) * -0.008942323) - t"
9,2.3991065e-6,"((t * -5.3300533) + (w1 * -0.0002609748)) * 32.30751"
11,2.3669052e-6,"((w1 * -0.0002609748) + (t * (w2 - 4.6103163))) * 32.30751"
13,2.3605305e-6,"((t * ((w2 - 2.597735) * 1.7747447)) + (w1 * -0.0002609748)) * 32.30751"
15,1.9131994e-6,"(((-0.008397276 - (w2 + (w1 - 0.89931357))) * (w2 * -0.10304477)) + w1) * -0.008501644"
17,1.4568811e-6,"(((w1 + w1) - (w2 * (((w1 + 0.21659389) * w2) * -0.5535337))) * -0.0039921515) - t"
19,1.354419e-6,"((w1 + (w1 - (w2 * (((w1 + (w1 + 0.23648442)) * -0.39859775) * w2)))) * -0.0037962988) - t"
25,1.3531942e-6,"(-0.00050032954 + ((w1 + (w1 - (w2 * (w2 * (t + (((w1 + (w1 / 0.6420539)) + t) * 0.0024571058)))))) * 0.49628234)) - w1"
28,1.3531851e-6,"((((w1 - (t + ((((w1 / 0.6420539) + w1) + (sqrt(t) - t)) * (0.0024571058 * (w2 * w2))))) + w1) * 0.49628234) - w1) + -0.00050032954"
30,1.3502962e-6,"((((w1 - ((w2 * (((w1 + w2) / (-1.9751668 / sqrt(t))) + (w1 / 0.95759225))) * (t + (w2 * 0.006030023)))) + w1) * 0.4962836) - w1) + -0.00050338043"
