Complexity,Loss,Equation
1,1.0377032,"w2"
3,0.9834715,"w2 - 0.23288688"
5,0.98159283,"(w2 * 1.0437171) - 0.24315536"
7,0.9774279,"w2 - (0.44314352 / (w1 - -2.1823907))"
9,0.92945975,"w2 - (1.2645686 / ((0.74600124 / w1) - -5.632874))"
11,0.9255689,"1.0457363 * (w2 - (1.1619424 / ((0.63897157 / w1) - -4.8936234)))"
13,0.9231657,"((-0.9452168 / ((0.57684875 / w1) - -4.4863663)) + (w2 * 1.0689783)) + -0.05827846"
15,0.91114527,"(w2 - (1.1619424 / ((0.63897157 / w1) - -4.8936234))) * (1.0457363 - (-0.0122652 / w1))"
17,0.8778234,"(w2 - (1.4414178 / ((0.7250938 / w1) - -5.6096845))) - (-0.027788766 / ((w1 * 1.8638068) - -0.095041454))"
21,0.8723217,"(((w2 + (-1.1344686 / ((0.56750464 / w1) - -4.4371896))) - (0.016755253 / ((w1 * -1.585363) - 0.08495945))) * 1.0767226) - -0.037064925"
23,0.85299146,"((w2 + (-1.0808784 / ((0.55833864 / w1) - -4.446638))) - (0.028963597 / ((w1 * -1.5915878) - 0.08054585))) * (1.0289055 - (-0.011238746 / w1))"
25,0.8525817,"(((w2 + (-1.0808784 / ((0.55833864 / w1) - -4.446638))) - (0.028963597 / ((w1 * -1.5915878) - 0.08054585))) * (1.0289055 - (-0.011238746 / w1))) - -0.012225616"
27,0.850918,"(((w2 * (1.0181297 - (-0.012381131 / w1))) + (-1.2782712 / ((0.56213635 / w1) - -4.3842955))) - ((0.033764105 / ((w1 * -1.6134764) - 0.07844145)) - 0.08223541)) + t"
