Complexity,Loss,Equation
1,1.1951393,"w2"
3,1.150064,"w2 + -0.21227661"
5,1.1458527,"(w2 - 0.21294415) / 1.0638328"
7,1.1232394,"w2 - (-0.065879874 / (-1.039601 - w2))"
9,1.08375,"w2 - ((-0.06918148 / (-1.037694 - w2)) + 0.19566712)"
11,1.0837487,"(w2 + ((t - -0.06916013) / (-1.0376896 - w2))) + -0.19569567"
13,1.066399,"((w2 - (-0.023365276 / w2)) - (-0.06852036 / (-1.0392056 - w2))) + -0.18785639"
15,1.0503798,"(w2 - (-0.036944877 / (w2 + -0.04665965))) - ((-0.070430204 / (-1.0429733 - w2)) - -0.21920338)"
17,1.0178775,"((w2 - (-0.068025865 / (-1.0336741 - w2))) + -0.18154022) - (-0.04748292 / ((1.1721963 - w1) - w2))"
21,0.9954529,"(((w2 - (-0.02585624 / w2)) - (-0.065762684 / (-1.0345584 - w2))) + -0.21075274) - (-0.04957222 / ((1.1732973 - w1) - w2))"
23,0.9796753,"(((w2 - (-0.047667805 / (w2 + -0.039639857))) - (-0.069056936 / (-1.0402993 - w2))) + -0.20095983) - (-0.050312046 / ((1.174913 - w1) - w2))"
25,0.9796362,"((w2 - (-0.047906186 / (w2 + -0.039825127))) - (-0.06897047 / (-1.0399472 - w2))) - (((-0.0754366 / ((1.1750555 - w1) - w2)) - -0.295729) * 0.6630554)"
27,0.97881496,"(((w2 - (-0.047906186 / (w2 + -0.039825127))) - (-0.06897047 / (-1.0399472 - w2))) - (((-0.0754366 / ((1.1750555 - w1) - w2)) - -0.295729) * 0.6630554)) * 0.95106745"
