Complexity,Loss,Equation
1,1.0506682,"w2"
3,1.0422705,"w2 * 1.0893183"
5,1.0422567,"(w2 * 1.0893112) + -0.003730368"
7,0.9989049,"(-0.029483994 / (w1 + -0.14667618)) + w2"
9,0.9931266,"(w2 * 1.0761479) + (-0.030406792 / (w1 + -0.14857118))"
11,0.99234414,"((w2 * 1.079199) + (-0.03303045 / (w1 + -0.15280782))) - 0.04325824"
13,0.9782404,"(w2 * ((-0.004261851 / w1) + 1.0960468)) + (-0.02654513 / (w1 + -0.14563686))"
19,0.9716475,"(((-0.22651449 - w1) * -0.10246686) / (w1 * (((w1 * 1.771887) - w2) - w2))) + (w2 / 0.8545003)"
23,0.9671672,"((((-0.23720479 - w1) * -0.094891) / ((((w1 * 1.8002138) - (w2 + -0.029664546)) - w2) * w1)) + (w2 * 1.2479869)) * 0.9516873"
27,0.95546556,"((((-0.23720479 - w1) * -0.094891) / ((((w1 * 1.8002138) - (w2 + -0.029664546)) - w2) * w1)) - (t / (-0.58296496 - w1))) + (w2 * 1.1876932)"
29,0.9553074,"((w2 * 1.2479869) + ((((-0.23720479 - w1) * -0.094891) / ((((w1 * 1.8002138) - (w2 + -0.029664546)) - w2) * w1)) - (t / (-0.58296496 - w1)))) * 0.9516873"
