Complexity,Loss,Equation
1,1.0433508,"w2"
3,1.0346746,"w2 + -0.09325048"
5,1.0118529,"w2 - (5.3585786e-8 / t)"
7,1.0080446,"w2 - ((5.6053167e-8 / t) - -0.06091563)"
9,0.9591521,"w2 - ((-6.4573506e-8 / t) / (w1 - -0.12778094))"
11,0.95652246,"(w2 - ((-6.0843746e-8 / t) / (w1 - -0.12778093))) + -0.058390785"
13,0.91869694,"w2 + ((w1 - ((2.1853856e-7 / t) / (w1 - -0.12778051))) * -0.34539464)"
15,0.9156527,"(w2 + ((w1 * -0.34539464) - ((-6.89802e-8 / t) / (w1 - -0.12777987)))) + -0.072414055"
17,0.91439134,"(w2 + ((w1 - ((2.22133e-7 / t) / (w1 - -0.12777987))) * -0.34539464)) + (t / w1)"
19,0.9129259,"w2 + ((t / (w1 - t)) + ((w1 - ((2.22133e-7 / t) / (w1 - -0.12777987))) * -0.34539464))"
21,0.9108742,"(w2 + ((t / w1) - t)) + (((w1 - -0.12777987) - ((2.1442816e-7 / t) / (w1 - -0.12778126))) * -0.34539464)"
25,0.9097011,"w2 + ((t / (w1 - t)) + ((t / (w1 - t)) + ((w1 - ((2.22133e-7 / t) / (w1 - -0.12777987))) * -0.34539464)))"
