Complexity,Loss,Equation
1,0.95890653,"w2"
3,0.9252416,"w2 + -0.18346485"
5,0.90722287,"(w2 + -0.1859837) * 1.1408788"
9,0.89362544,"(w2 - ((w1 * w1) * 0.3933199)) * 1.1249304"
11,0.88266647,"(w2 + 0.57675153) - ((0.7770486 / (w2 + 0.028247263)) * w2)"
13,0.8824638,"w2 - ((((-4.514477 / (w2 + 0.030157058)) * w2) * -0.1571599) - 0.50954384)"
15,0.856461,"w2 - (-0.5505706 - (((-3.9732144 / (w2 + 0.020263996)) + w2) * (w2 * 0.24577017)))"
17,0.8477065,"w2 - ((((-4.526405 / (w2 + 0.020820187)) - (-0.47691178 - w2)) * (w2 * -0.20425002)) - 0.5010815)"
19,0.84188044,"w2 - ((((-4.530757 / (w2 + 0.020984856)) - ((w1 - 0.43708712) - w2)) * (w2 * -0.20171912)) - 0.47093156)"
21,0.84158057,"w2 - ((((-4.482769 / (w2 + 0.02005159)) - ((w1 - (w1 * w1)) - w2)) * (w2 * -0.2170041)) - 0.55042624)"
25,0.833702,"(w2 + (-0.010905245 / w1)) - ((((w2 * (((-4.2922807 / (w2 + 0.020718036)) + 0.3370575) - (w1 - w2))) * -0.23281725) - 0.53357404) / 1.0502483)"
27,0.8336741,"((w2 + (-0.010905245 / w1)) - (((w2 * (((-4.2922807 / (w2 + 0.020718036)) + (0.3370575 - (w1 - w2))) * -0.23281725)) - 0.53357404) / 1.0502483)) + -0.00066944316"
