Complexity,Loss,Equation
1,0.9698985,"w2"
3,0.9693911,"w2 * 0.9770686"
5,0.9325783,"w2 - (0.025653053 / w1)"
7,0.92910844,"(w2 - (0.028836166 / w1)) * 0.93859017"
9,0.89749324,"w2 + ((5.5517557e-8 / t) / (-0.022457538 - w1))"
11,0.8929053,"w2 + (((6.3952236e-8 / t) / (-0.022311356 - w1)) - 0.11157713)"
13,0.89013344,"(((6.932321e-8 / (t * (-0.022110512 - w1))) - 0.11157686) + w2) / 1.0621386"
15,0.8631077,"((-0.028550148 / (w1 + 0.26347667)) + w2) - ((-6.6434644e-8 / t) / (-0.02110759 - w1))"
17,0.8563235,"((-0.03227123 / (w1 + 0.26347667)) + (w2 - ((-8.3420275e-8 / t) / (-0.021107562 - w1)))) * 0.88469356"
19,0.85089797,"(((w2 - ((-8.8719766e-8 / t) / (-0.021107601 - w1))) + (-0.03227123 / (w1 + 0.26347667))) - 0.08356284) * 0.88469356"
23,0.8477865,"((w2 + 0.052222263) * (-4.1992251e-7 / t)) + (w2 + ((-0.03226937 / (w1 + 0.263485)) - ((-9.661123e-8 / (-0.020661486 - w1)) / t)))"
25,0.8424368,"((((w2 + (-0.02073321 / (w1 + 0.2529332))) - ((-6.5221734e-8 / (-0.02225172 - w1)) / t)) / 1.0304776) + -0.022251846) - ((w1 * 0.014727733) / w2)"
27,0.8419563,"(-0.022251846 - (w1 * (0.014727732 / w2))) + (((w2 + (-0.020733211 / (w1 + 0.2529332))) - ((-6.00741e-8 / (-0.022251846 - w1)) / t)) / (t + 1.0304776))"
29,0.84005374,"((-0.022251846 - ((w1 * 0.014727733) / (w2 + 0.19899157))) + ((w2 + ((-0.02073321 / (w1 + 0.2529332)) - ((-6.5221734e-8 / (-0.02225172 - w1)) / t))) / 1.0304776)) - 0.056384422"
