Complexity,Loss,Equation
1,1.0179768,"w2"
3,0.99155796,"w2 * 0.8379312"
5,0.98174816,"-0.09984104 - (w2 * -0.8507013)"
7,0.95123756,"w2 - (w2 * (w1 * w1))"
9,0.94367355,"w2 + ((w2 * (0.189493 - w1)) * w1)"
11,0.91362494,"w2 + (w1 * ((0.04492593 / w2) - (w1 * w2)))"
13,0.9068811,"(w1 * ((0.045188457 / w2) - (w2 * w1))) + (w2 + -0.08212604)"
15,0.9016085,"w2 + (w1 * ((0.017869385 / ((0.64720404 - w2) * w2)) - (w2 * w1)))"
17,0.8877029,"(((0.02160759 / ((0.6409119 - w2) * w2)) - (w2 * w1)) * (w1 + -0.23039448)) + w2"
19,0.8716614,"(w2 + (w1 * ((0.0232318 / ((0.6422749 - w2) * w2)) - (w1 * (w2 + -0.51445735))))) + -0.30466747"
21,0.8716611,"w2 + (-0.30466747 + (w1 * ((0.0232318 / ((0.6422749 - w2) * w2)) - (w1 * ((w2 + -0.51445735) - t)))))"
23,0.8716593,"((w2 + -0.30466747) + (w1 * ((0.0232318 / ((0.6422749 - w2) * w2)) - (w1 * (w2 + -0.51445735))))) + (t * w2)"
25,0.8716585,"(w2 + -0.3047159) + ((w1 * ((0.023316508 / (w2 * (0.6422504 - w2))) - (w1 * (w2 + (-0.5144365 - t))))) + (w2 * t))"
27,0.86919224,"((w2 + -0.30466747) + ((w1 * ((0.0232318 / (w2 * (0.6422749 - w2))) - (w1 * (w2 + (-0.51445735 - t))))) + (t * w2))) * 1.12213"
