Complexity,Loss,Equation
1,3.6680576e-5,"-0.0018618106"
3,3.086938e-6,"w1 * -0.00916218"
5,2.8949983e-6,"(w1 - -0.050092254) * -0.00900185"
7,2.8793095e-6,"(w1 * -0.008965211) - (t / 0.009316801)"
9,1.7459987e-6,"w1 * (((w2 * w2) * -0.003278521) + -0.0075547993)"
11,1.5722243e-6,"(((w2 * -0.0032125616) * w2) + -0.007469142) * (w1 - -0.03660487)"
13,1.5720985e-6,"((w1 - -0.036605056) * ((w2 * (w2 * -0.003212011)) + -0.007465282)) - t"
15,1.3313577e-6,"w1 * ((w2 * ((0.001724971 + ((w2 * -0.0027536224) * w2)) * w2)) + -0.008577546)"
17,1.1403098e-6,"(w1 - -0.026017658) * ((((((w2 * -0.0029929976) * w2) + 0.0018119742) * w2) * w2) + -0.008388965)"
29,9.995417e-7,"(((((t / (w1 / t)) - 0.015532937) + ((w2 + -0.11792649) * (w2 * 0.005957143))) / ((w1 - 0.024508988) / 0.43389603)) + (t / (0.005862826 + t))) * 1.0990641"
