Complexity,Loss,Equation
1,1.9044166e-5,"0.0044993116"
3,3.4613593e-6,"w1 * -0.009973764"
5,3.4610307e-6,"w1 * (-0.009962986 - t)"
7,2.8360155e-6,"(0.011547708 / (w1 + -0.926384)) + 0.0140677225"
9,2.0277448e-6,"(-0.014768685 - (w1 * 0.0068678292)) * (w1 + t)"
11,1.5015072e-6,"(((w2 * w2) * w1) * -0.0043277224) + (w1 * -0.0077937725)"
13,1.4275901e-6,"((w2 * w2) * ((w1 * -0.0040704072) + 0.0002064619)) + (w1 * -0.0077824835)"
15,1.0399676e-6,"(w1 * -0.008479945) + ((((w2 * (w1 * -0.0027442598)) * w2) * w2) * w2)"
17,9.1499356e-7,"(((w2 * ((w1 * -0.002595715) + 0.00012443472)) * w2) * (w2 * w2)) + (w1 * -0.008481797)"
19,9.126784e-7,"((((w1 * -0.0026036054) + 0.00013361048) * (w2 * ((w2 * w2) * w2))) + (w1 * -0.008485852)) - t"
21,9.0938875e-7,"(((w1 * -0.0030619518) + (((((w1 * -0.0009341373) + 4.980774e-5) * w2) * (w2 * w2)) * w2)) - t) / 0.3598646"
23,9.0907884e-7,"(((w1 * -0.0025817126) + 0.00014115011) * (w2 * (w2 * (w2 * w2)))) + ((((w1 * -0.008509604) - t) - t) - t)"
25,9.089697e-7,"(((w1 * -0.0025947012) + 0.00013902165) * (w2 * ((w2 * w2) * w2))) + (((((w1 + t) * -0.0085116755) - t) - t) - t)"
27,8.9521586e-7,"((((((w1 + t) * -0.0023482281) - t) - t) - t) + ((w2 * w2) * ((((w1 * -0.00069715414) + 4.3783664e-5) * w2) * w2))) * 3.6690679"
29,7.395488e-7,"((w1 + -0.00046043535) * -0.008693839) + (w2 * ((((t + w2) * w2) * (w2 * (((t + w1) * ((w1 * -0.002258184) + -0.002728681)) + 0.00024248617))) - t))"
