Complexity,Loss,Equation
1,1.5204155e-5,"-0.0049849106"
3,2.7455897e-6,"w1 * -0.00970235"
5,2.7421108e-6,"-0.00010056463 - (w1 * 0.009573033)"
7,1.308278e-6,"w1 * (-0.016789077 - (w1 * -0.009636229))"
9,1.1286915e-6,"((-0.016576778 - (w1 * -0.010667513)) * w1) - 0.00073870283"
11,1.0526703e-6,"((w2 * (w2 * -0.004431264)) - (w1 * 0.018428165)) + 0.008723471"
13,1.0517607e-6,"((w2 * (w2 * -0.0044241925)) - (w1 * 0.018407773)) + (0.00869053 - t)"
17,1.0511399e-6,"(((((w2 * w2) * -0.004431264) - (w1 * 0.018428165)) + 0.008723471) - (w2 * t)) - t"
19,1.0505044e-6,"(((w2 * w2) * -0.0044274945) - ((w1 * 0.018388549) + t)) + ((0.0086918 - (t * w2)) - t)"
21,1.0491291e-6,"(((((w2 * w2) * -0.004432077) - ((w1 * 0.018363994) + t)) + 0.008673776) - (t * (w2 * 2.189335))) - t"
25,1.0482219e-6,"(((((w2 * w2) * -0.0044248356) - (w1 * 0.018316412)) + (-0.12818983 - (t * (w2 * 1.8758681)))) - ((t * 1.1390842) * w2)) + 0.13679327"
