Complexity,Loss,Equation
1,4.07484e-5,"t"
3,2.934195e-6,"w1 * -0.009583506"
5,2.9301943e-6,"t - (w1 * 0.009580218)"
7,2.8752722e-6,"(t - (w1 * 0.00040189226)) / 0.04227903"
9,1.4700665e-6,"((w2 * (w2 * -0.003749734)) - 0.007852389) * w1"
11,1.4650363e-6,"((((w2 * w2) * -0.0037584042) - 0.007850763) * w1) + 7.099309e-5"
13,1.0782765e-6,"((w2 * (w2 * ((w2 * w2) * -0.0024616302))) - 0.008436806) * w1"
15,1.0467892e-6,"w1 * ((((w2 * (-0.4670547 + (w2 * w2))) * w2) * -0.0033024696) - 0.008757145)"
17,9.845668e-7,"w1 * ((((w2 * ((w2 * (w2 * w2)) * w2)) * w2) * -0.0013434583) - 0.008750471)"
19,9.709948e-7,"(w1 * ((w2 * ((w2 * ((w2 * w2) * w2)) * (w2 * -0.0013508789))) - 0.008749731)) - -0.000116777876"
21,9.54248e-7,"((w1 + (w2 * -0.027179182)) * (((w2 + w1) * (w2 * (w2 * (w2 * -0.0024659587)))) - 0.008457121)) + t"
23,8.9530783e-7,"((w1 + (w2 * -0.014567487)) * (((w2 * (((w2 * w2) * (w2 * w2)) * -0.0014383692)) * w2) - 0.008694969)) + t"
25,7.7244937e-7,"((w1 + (w2 * -0.026796814)) * (((((w2 * (w2 * w2)) * (w2 * (w1 + w2))) * -0.0014416114) * w2) - 0.008698742)) + t"
27,7.532386e-7,"((w2 * 0.000729796) + (w1 * ((w2 * ((w2 * w2) * ((((w2 * w2) * w2) * -0.0013822039) - (w1 * 0.0031678365)))) - 0.008705331))) + 0.00011367913"
29,7.523862e-7,"((w2 * 0.00072948553) + (w1 * (((w2 * (w2 * w2)) * ((((w2 * w2) * w2) * -0.001381311) - (w1 * 0.003167457))) - 0.008702345))) + (t + 0.00010569636)"
