Complexity,Loss,Equation
1,1.4138727e-5,"-0.005052552"
3,3.0315157e-6,"w1 * -0.009871417"
5,2.9754542e-6,"(w1 * -0.0093350345) - 0.0004051402"
7,1.3387745e-6,"w1 * ((w1 * 0.010425635) + -0.01744618)"
11,9.796433e-7,"((w2 * w2) * -0.0045339423) + ((w1 * -0.018597962) - -0.008859274)"
13,9.79632e-7,"(((t + w2) * w2) * -0.004533962) + ((w1 * -0.018597849) - -0.008859287)"
15,9.794267e-7,"((((w2 * w2) + -0.82299876) * -0.0045326147) + ((w1 * -0.018592544) - -0.00510896)) + t"
17,9.791163e-7,"((w1 * -0.01819604) - -0.04585854) + ((((w2 - (-1.2098353 * 0.009539408)) * w2) * -0.004377294) - 0.037310075)"
19,9.771055e-7,"(((w2 - -0.018468115) - (t * -0.32712665)) * (w2 * -0.0044568037)) + (((w1 * -0.018468115) - -0.008765748) - t)"
21,9.724458e-7,"((w2 - (((w2 + 0.13906676) * -0.007361975) - 0.021738613)) * (w2 * -0.0044568037)) + (((w1 * -0.018468115) - -0.008765748) - t)"
23,9.724457e-7,"(((w2 - (((w2 + 0.13906676) * -0.007361975) - (-0.008765748 * -2.4799497))) * (w2 * -0.0044568037)) + ((w1 * -0.018468115) - -0.008765748)) - t"
25,9.698355e-7,"(((w1 * -0.01819604) - -0.04585854) + ((w2 - (w1 * ((t + -1.2098353) * (w2 * (0.22632773 * 0.17945932))))) * (w2 * -0.004377294))) - 0.037310075"
27,9.695015e-7,"((-0.01819604 * w1) - -0.04585854) + (((w2 - (((w1 + w1) / ((t / t) + -1.2098353)) * (w2 * 0.009539408))) * (w2 * -0.004377294)) - 0.037310075)"
