Complexity,Loss,Equation
1,4.029559e-5,"-0.00030541216"
3,3.2280132e-6,"w1 * -0.009651419"
5,3.2186247e-6,"(w1 * -0.009646167) + -9.695947e-5"
7,1.4029922e-6,"-0.010280777 / (w1 + (0.5092647 / w1))"
9,1.3928374e-6,"(-0.010237626 / (w1 + (0.50552994 / w1))) - 8.9434834e-5"
11,9.706106e-7,"(-0.0016543219 / (w1 + (0.054018475 / w1))) - (w1 * 0.006592858)"
13,9.689086e-7,"((t + -0.0016543219) / (w1 + (0.054018475 / w1))) - (w1 * 0.006592858)"
15,7.438975e-7,"(-0.0011830112 / (w1 + (0.02554432 / ((w2 * -0.031823568) + w1)))) - (w1 * 0.007239261)"
17,7.4151245e-7,"((t + -0.0011905355) / (w1 + (0.025470795 / (w1 + (w2 * -0.031831697))))) - (w1 * 0.007239048)"
19,4.733438e-7,"(-0.001042843 / ((w1 + (0.016590577 / (w1 + (w2 * -0.041454203)))) + (w2 * -0.061761793))) - (w1 * 0.0074211457)"
21,4.7248872e-7,"((-0.0010418755 / ((w1 + (0.016590532 / (w1 + (w2 * -0.041454192)))) + (w2 * -0.061761796))) - (w1 * 0.0074207885)) + t"
23,4.7067107e-7,"(-0.0010422502 / ((w1 + (0.016625097 / (w1 + (w2 * -0.041459847)))) + (w2 * -0.061761923))) - ((w1 * 0.0073962756) + (t / -0.12648003))"
25,4.6270497e-7,"(-0.0010374857 / ((w1 + (0.016610615 / ((w1 + (w2 * -0.041458573)) + 0.0047796383))) + (w2 * -0.06176124))) - ((w1 * 0.0074279313) + (t / -0.12647995))"
