Complexity,Loss,Equation
1,2.985826e-5,"-0.0033659209"
3,3.3069875e-6,"w1 * -0.009848302"
5,3.3048304e-6,"(w1 * -0.009851774) + t"
7,2.8278034e-6,"w1 * ((w1 * 0.0020588515) - 0.010992077)"
9,1.4422512e-6,"w1 * (-0.007609314 - (w2 * (w2 * 0.0040907394)))"
11,8.7025666e-7,"-0.8991758 / ((115.2526 - ((w2 * w2) * 33.991337)) / w1)"
13,3.9206483e-7,"((((w2 * 0.002462054) + -0.0003272661) * w2) - 0.00685876) / (w1 + 0.06415019)"
15,2.3522125e-7,"(((((w2 * 0.0023402048) + -0.00028255125) * w2) - 0.006478682) / (w1 + 0.07793446)) + -0.0007255613"
17,1.9599369e-7,"(w1 * -0.002569171) + (((w2 * ((w2 * 0.001852628) + -0.00029198264)) - 0.0052201077) / (w1 + 0.061091155))"
19,1.2919257e-7,"(((((((w1 * 0.0005973562) + 0.0023644723) * w2) + -0.00034491625) * w2) - 0.0065363906) / (w1 + 0.06395659)) - 0.0010205094"
21,1.2898636e-7,"(t + (((((((w1 * 0.00059696415) + 0.0023646562) * w2) + -0.0003443023) * w2) - 0.0065360144) / (w1 + 0.06395591))) - 0.0010230567"
23,7.410832e-8,"((((w2 * ((((w1 * 0.00032132686) + 0.0020390737) * w2) - 0.0003178158)) - 0.0057058586) / (w1 + 0.06774205)) - 0.00061604346) + (w1 * -0.0014540022)"
25,6.8048244e-8,"(((((w2 * ((((w1 * 0.00024813926) + 0.0015206673) * w2) - 0.0002332681)) - 0.004250884) / (w1 + 0.06977267)) - 0.00052169204) + (w1 * -0.0009557849)) * 1.3545532"
27,6.783374e-8,"((((((w2 * ((((w1 * 0.00024813926) + 0.0015206673) * w2) - 0.0002332681)) - 0.004250884) / (w1 + 0.06977267)) - 0.00052169204) + (w1 * -0.0009557849)) * 1.3545532) + t"
