Complexity,Loss,Equation
1,1.3939527e-5,"-0.0051250514"
3,3.6657743e-6,"w1 * -0.00967133"
5,3.4740995e-6,"(w1 * -0.0087208655) + -0.00073761994"
7,1.6320713e-6,"w1 * ((w1 * 0.011038819) - 0.018100647)"
9,1.3171976e-6,"(((0.011411626 * w1) - 0.017163442) * w1) + -0.0009488223"
11,1.3158929e-6,"(((w1 * 0.011405382) - 0.017156586) * w1) + (t + -0.00095551525)"
13,1.1975379e-6,"-0.0016745403 + ((((w1 * 0.010801121) - 0.016468447) * w1) - (t / -0.009108402))"
15,1.1966853e-6,"(((((w1 * 0.010800901) - 0.01646922) * w1) - (t / -0.009110864)) + -0.001675586) + t"
17,1.1959022e-6,"((((((w1 * 0.010801121) - 0.016468447) * w1) + -0.0016745403) - (t / -0.009108402)) + t) + t"
19,1.1036564e-6,"(w1 + ((w1 * (((w1 + ((0.0034725748 - w1) * 1.0017179)) * w1) - 1.0027786)) + -0.00026198057)) / 0.15870509"
21,1.0957415e-6,"(((w1 - t) * ((((0.0034736865 - (w1 * 1.0017172)) + w1) * w1) - 1.0027734)) + (w1 + -0.00026859913)) / 0.15870525"
23,1.0865995e-6,"((t * 2.202071) + (w1 + ((((((w1 - (w1 * 1.0017344)) + 0.0035023107) * w1) - 1.0027919) * w1) + -0.00027887584))) / 0.16002816"
25,1.0521925e-6,"((w1 + (w1 * (w1 + ((w1 * (((w1 + (-0.00453093 - (w1 * 1.005802))) * w1) - 0.97825253)) - 1.018321)))) + 0.54012704) - 0.5417623"
27,9.781362e-7,"(((w1 + (w1 * (((w1 + (0.003497732 - (w1 * 1.0017422))) * w1) - 1.0027766))) + -0.00027731384) + (t * (w2 / (-1.6640681 * 0.086836144)))) / 0.16002768"
29,8.989304e-7,"(((w1 + (w1 * ((((w1 + 0.0033998813) - (w1 * 1.0017685)) * w1) - 1.0026197))) + -0.00031876363) + ((w2 * 1.0896227e-5) / ((t + 0.086837076) * -1.6640681))) / 0.16004106"
