Complexity,Loss,Equation
1,7.059335e-6,"0.0056029903"
3,2.986506e-6,"w1 * -0.008602382"
5,2.2077218e-6,"(w1 * -0.006384628) + 0.0017708853"
7,2.0243751e-6,"(w1 * -0.0076629897) + (w2 * 0.0010589575)"
9,1.6447162e-6,"(w1 * (-0.014248884 - (w1 * 0.0077170506))) + 0.00074925"
11,1.6445999e-6,"0.0007519123 + ((-0.014247965 - (w1 * (0.0077184676 + t))) * w1)"
13,1.6445963e-6,"(((0.98574984 - (w1 * (t + 0.0077178506))) * w1) + 0.0007492476) - w1"
15,1.6306952e-6,"w1 * (((w1 * -8.6599485e-8) - 1.4135982e-7) * ((0.17036489 * w2) / (t + 3.1650012e-9)))"
17,1.6285735e-6,"(w1 * ((w1 * -1.0849781e-7) - 1.7846953e-7)) * (((w2 / (t + 1.7932481e-9)) * 0.13351412) + w1)"
19,1.3057462e-6,"(t * -1.7774189) + ((-0.009064426 - w1) * ((w1 * (0.047704328 - (w1 * -0.026305435))) + (0.029503852 - t)))"
21,1.2508824e-6,"t + (w1 * ((-0.020507442 - (((w1 * t) + w1) * (0.046673805 - (w1 * -0.025847925)))) + (-0.008354581 - t)))"
