Complexity,Loss,Equation
1,1.4994697e-7,"0.0071928906"
3,1.4958178e-7,"t + 0.007183142"
5,1.4397159e-8,"(w1 * -0.0026906815) + 0.005145974"
7,1.3453644e-8,"0.009367756 / ((w1 + -0.22287962) / w1)"
9,1.6096232e-19,"((w1 * -0.0040007937) + (w2 * -0.0003920787)) + 0.0040007858"
11,6.6720136e-20,"((w1 * -0.004000791) + ((w2 - -0.09825586) * -0.00039207816)) + 0.0040393122"
15,6.421813e-20,"(((w2 - ((t * -0.004000791) + -0.09825586)) * -0.00039207816) + (-0.004000791 * w1)) + 0.0040393122"
19,6.1716126e-20,"((w1 * -0.004000791) + ((w2 - (-0.09825586 - (t * 0.013728327))) * (w2 * (-0.00039207816 / w2)))) + 0.0040393122"
21,6.004812e-20,"((w1 * -0.004000791) + (((w2 - -0.09825586) - ((t * w1) * 0.013728327)) * (w2 * (-0.00039207816 / w2)))) + 0.0040393122"
23,5.838012e-20,"(((w1 * -0.004000791) + ((w2 - (-0.09825586 - (t * 0.0164982))) * (w2 * (-0.00039207816 / w2)))) + (0.0040393122 + t)) - t"
