Complexity,Loss,Equation
1,5.9398385e-6,"0.0057140877"
3,2.833743e-6,"w1 * -0.008593633"
5,1.8094294e-6,"(w1 * -0.0059895692) + 0.0020754794"
7,1.6539323e-6,"(w1 * -0.0075356844) + (w2 * 0.0011878146)"
9,1.0970143e-6,"((0.0032256166 / (w1 - 0.23177244)) * w1) / 0.36871365"
11,1.0790778e-6,"(0.0033944491 / ((w1 - 0.44510192) + 0.22352085)) * (w1 / 0.3843855)"
13,1.0451595e-6,"(((0.006024725 / (1.7137314 - w2)) / (w1 - 2.3731878)) + -0.0064235628) * w1"
15,9.509424e-7,"(w1 * ((0.020217733 / ((w2 - -2.8830929) - w2)) / (w1 - 0.17204393))) + 0.001039935"
17,8.134016e-7,"(w1 * (((0.026094316 / ((w2 - -2.26719) - w1)) / (w1 - 0.17109549)) + t)) + 0.001146431"
19,8.1266495e-7,"((w1 * (0.030071028 / ((w2 - -2.8937595) - (t + w1)))) / (w1 - (t + 0.16247222))) + 0.0011593617"
