Complexity,Loss,Equation
1,1.1687848e-5,"-0.005292177"
3,3.6231363e-6,"w1 * -0.0096148485"
5,3.2755904e-6,"(w1 * -0.008233035) + -0.0010452669"
7,1.2525534e-6,"(0.0066910246 / (w1 + 0.6370044)) + -0.012010706"
9,1.2513792e-6,"((t + 0.0066910246) / (w1 + 0.6370044)) + -0.012010706"
11,1.0315792e-6,"(w1 * -0.006663259) - (0.0015736166 / (w1 - (-0.046107315 / w1)))"
13,1.0304934e-6,"((w1 * -0.006663259) - (0.0015736166 / (w1 - (-0.046107315 / w1)))) - t"
15,8.6217045e-7,"(w1 * -0.0069559203) - (0.00024501153 / ((w1 * 0.17296547) - (-0.0077484692 / (w1 + 0.06311514))))"
19,7.74994e-7,"((w1 * -0.007467666) + 0.00069158105) - (0.00014594338 / ((w1 * 0.088629074) - (-0.008622259 / ((w1 + 0.1346031) + w1))))"
23,7.51729e-7,"((w1 * -0.007400266) - (((t * w2) + 0.0002148991) / ((w1 * 0.10549743) - (-0.014107875 / ((w1 + w1) + 0.1737316))))) + 0.0010420044"
25,7.4194116e-7,"((w1 * -0.0073464387) + 0.0011168858) - ((((t * 1.7548908) * w2) + 0.00022213226) / ((w1 * 0.10549957) - (-0.0141592575 / (w1 + (0.17373177 + w1)))))"
27,7.4181924e-7,"((w1 * -0.007346442) + 0.0011168835) - ((((t * 1.7548908) * w2) + 0.00022196598) / ((w1 * 0.10549957) - (-0.014159318 / (((w1 + t) + 0.17484866) + w1))))"
