Complexity,Loss,Equation
1,1.0571012e-5,"0.0052435463"
3,3.4169605e-6,"w1 * -0.008641953"
5,3.1631835e-6,"(w1 * -0.0074731004) + 0.0009421369"
7,1.1354696e-6,"0.0096384585 - (-0.0030492458 / (w1 + -0.3420793))"
11,1.1352678e-6,"((t + (-0.0010260122 / (w1 + -0.34278312))) + -0.0032372097) / -0.33550847"
13,9.719946e-7,"(0.010006848 - (-0.0034717433 / (w1 + -0.3684423))) - (-2.1167843e-6 / (-3.0702708e-5 - w2))"
15,9.650998e-7,"0.009713917 - ((-0.0030820277 / (w1 + -0.34279943)) - (((-1.2696379e-5 / w2) / 5.9517994) - t))"
17,9.64953e-7,"(0.006368423 - ((-0.0020512664 / (w1 + -0.3470015)) - (((-7.5016674e-6 / w2) / 5.380817) - t))) / 0.6520856"
19,9.644459e-7,"(((0.0023948837 - ((-0.0007689765 / (w1 + -0.3463961)) - ((-2.1832489e-6 / w2) / 4.160582))) - t) / 0.24536315) - t"
23,9.53814e-7,"(0.009745618 - ((-0.0031136381 / (w1 + -0.34430328)) - (t / ((t + w1) / (t + ((2.163708e-6 / w2) / t)))))) - t"
25,9.534709e-7,"(0.009745618 - (((-0.0031136381 / (w1 + -0.34430328)) - (t / (w1 / (t + ((2.163708e-6 / w2) / t))))) + (t + t))) - t"
27,9.53327e-7,"(0.009745648 - ((((-0.003113666 / (w1 + -0.3443034)) - (t / (w1 / (t + ((2.164093e-6 / w2) / t))))) + t) + (t + t))) - t"
