Complexity,Loss,Equation
1,4.2596977e-5,"8.9003035e-5"
3,2.0532427e-6,"w1 * -0.009609977"
5,2.0507375e-6,"(w1 + -0.0051209438) * -0.009622781"
7,8.0299225e-7,"-0.0114435945 / ((0.63949686 / w1) + w1)"
9,7.771122e-7,"-0.01099188 / ((0.594922 / (w1 + -0.019793283)) + w1)"
11,7.1563875e-7,"-0.011181123 / (((0.61880916 / w1) + w1) - (w2 * 0.08998455))"
13,1.3898376e-7,"((w2 * (w2 * 0.0025384116)) - 0.00632702) / (w1 + (w2 * -0.05311253))"
15,1.3761161e-7,"(-0.0063273143 - (w2 * (w2 * -0.002538519))) / (w1 + ((w2 - 0.016352963) * -0.053689066))"
17,1.369735e-7,"((-0.0063273143 - (w2 * (w2 * -0.002538519))) / (w1 + ((w2 - 0.016352963) * -0.053689066))) + t"
19,1.3368528e-7,"((-0.0063168607 - ((w2 * w2) * -0.0025343695)) / (((w2 - 0.016353289) * -0.053737007) + w1)) + (w2 * -7.501283e-5)"
21,9.2813664e-8,"((((((w2 * 0.0018901728) * w2) - 0.00471662) / (w1 + -0.086201705)) - (w1 * 0.002412451)) - -0.00078740204) - (w2 * 0.00057725067)"
25,5.4406435e-8,"(((((w2 * w2) * 0.001957032) - 0.0048836516) / (w1 + -0.086243935)) - (w1 * 0.0021601722)) - (-0.0006005723 - (w2 * (-0.0006367743 - (w2 * -0.00025889868))))"
27,5.170463e-8,"(((((w2 * w2) * 0.0019151238) - 0.004778992) / (w1 + -0.086217836)) - (w1 * 0.0023084125)) - (-0.00052616076 - ((-0.0006641282 - (w2 * -0.00032506938)) * (w2 + -0.0027764495)))"
