Complexity,Loss,Equation
1,1.0571013e-5,"0.005243544"
3,3.4169605e-6,"w1 * -0.008641944"
5,3.1631835e-6,"0.0009420167 - (w1 * 0.0074732737)"
7,1.1354298e-6,"0.009625678 - (0.0030336515 / (0.34102535 - w1))"
9,1.1353422e-6,"(0.009625678 - (0.0030336515 / (0.34102535 - w1))) - t"
11,1.1353219e-6,"0.0007299946 - (w1 * ((0.008895861 / (0.34102783 - w1)) - t))"
13,1.1000395e-6,"(-0.0022210707 / ((0.083276875 / w1) + -0.21174255)) - (t / (w2 * w2))"
15,9.652441e-7,"0.00071851694 - (w1 * ((((1.3641613e-6 / w2) - 0.0042829113) / (0.34295702 - w1)) * -2.1007257))"
17,9.651316e-7,"0.00070375163 - (((w1 * ((2.5424356e-7 / (w2 * 0.34555298)) - 0.0023147976)) / (0.34555882 - w1)) * -3.9071412)"
19,9.3976473e-7,"-0.0022026056 / ((-0.21186346 - ((t / w2) / (w2 * w2))) + (0.08229991 / (w1 - (-0.21944919 * -0.09165395))))"
