Complexity,Loss,Equation
1,1.0507602e-5,"-0.0054086847"
3,3.5769997e-6,"w1 * -0.009591654"
5,3.1018894e-6,"(w1 * -0.007915117) + -0.0012572855"
7,1.136202e-6,"(0.005412347 / (w1 + 0.5538879)) + -0.011309943"
9,1.1351876e-6,"((t + 0.005402613) / (w1 + 0.55382246)) + -0.011306222"
11,1.0994509e-6,"((0.004903416 / (w1 + 0.5311905)) - 0.011245733) - (t / -0.017472561)"
13,1.0607055e-6,"(((-0.00010597871 / (w1 + 0.5295176)) - -0.00024312959) + (t * w2)) / -0.022370953"
15,1.05385e-6,"(((((-6.67607e-5 / (w1 + 0.5874479)) - -0.00014264166) - t) - t) / -0.046763986) / 0.24560855"
17,1.05323e-6,"(((((-4.3836222e-5 / (w1 + 0.5543551)) - -0.000104918014) - t) - t) / -0.022637164) / (0.37494898 - t)"
19,1.0491023e-6,"(((((-5.318848e-5 / ((w1 + t) + 0.5543599)) - -0.00012462823) - t) - t) / -0.02739346) / (0.37495226 - t)"
23,1.0489348e-6,"((((((-5.318848e-5 / ((w1 + t) + 0.5543599)) - -0.00012462823) - t) - t) / -0.02739346) / (0.37495226 - t)) + (t / 1.0471268)"
25,1.0050937e-6,"((t + 0.005164444) / (w1 + 0.5539607)) + ((t / ((t / (w1 * (w1 + t))) + (-0.018876368 / (w2 - 0.6095728)))) + -0.011321504)"
