Complexity,Loss,Equation
1,5.3913254e-6,"0.005751561"
3,3.1735192e-6,"w1 * -0.009752782"
5,1.9588254e-6,"0.0023199634 - (w1 * 0.00640166)"
7,1.667642e-6,"(-0.006693555 / (0.6402829 - w1)) + 0.011900975"
9,1.6639802e-6,"(((w1 * -0.0077340906) - 0.013440821) * w1) + 0.0014167223"
11,1.6516441e-6,"((-0.050744582 / (1.4722046 - w1)) + (w1 * 0.007855431)) - -0.035824846"
13,1.6507317e-6,"(((-0.050753593 / (1.4722044 - w1)) + (w1 * 0.007857575)) - -0.035810325) + t"
15,9.62657e-7,"(0.0039001047 / ((0.091886766 / ((w1 + 0.15502825) / (-2.9615612 - w2))) - w1)) - -0.0035678714"
17,9.61852e-7,"((0.0039001047 / ((0.091886766 / ((w1 + 0.15502825) / (-2.9615612 - w2))) - w1)) - -0.0035678714) + t"
19,2.3809918e-7,"(0.0006395956 / ((0.0446667 / ((w1 + 0.1368816) / (-1.8272269 - w2))) - w1)) - ((w1 * 0.0036620575) - 0.0034285975)"
21,2.3724364e-7,"(0.0006395956 / ((0.0446667 / ((w1 + 0.1368816) / (-1.8272269 - w2))) - w1)) - ((w1 * (0.0036620575 + t)) - 0.0034285975)"
23,2.2890082e-7,"(0.00066390866 / (((0.044331584 / (w1 + 0.13946486)) / (-1.953671 - ((w1 - w2) + -0.15764622))) - w1)) - ((w1 * 0.0037686) - 0.0033750748)"
25,2.0674148e-7,"((0.0006951905 / (((0.043591287 / (w1 + 0.13937856)) / (-1.9543004 - ((w1 + (-0.45385617 - w2)) + 0.13859266))) - w1)) - (w1 * 0.0038470596)) - -0.0033583483"
