Complexity,Loss,Equation
1,1.0571012e-5,"0.005243546"
3,3.416961e-6,"w1 * -0.008641951"
5,3.1631835e-6,"(w1 * -0.007473101) + 0.00094213686"
6,3.02833e-6,"w1 * (-0.0078123077 - sqrt(t))"
7,1.9137904e-6,"w1 * (-0.017473191 + (w1 * -0.010366027))"
9,1.9136066e-6,"w1 * ((w1 * (-0.010366027 - t)) + -0.017473191)"
10,1.9132526e-6,"w1 * ((-0.010366027 * (w1 - sqrt(t))) + -0.017473191)"
11,1.2285491e-6,"w1 * ((w1 * ((w1 * -0.026069611) + -0.04701323)) + -0.028984308)"
13,1.2281384e-6,"(w1 * ((w1 * ((w1 * -0.026069611) + -0.04701323)) + -0.028984308)) + t"
15,1.2110935e-6,"(((w1 * (w1 + (-0.049214885 + (-1.0281717 * w1)))) + -0.02887146) * w1) + 0.00032544462"
16,1.1552638e-6,"((w1 * ((w1 + ((w1 * -1.0292443) + sqrt(t))) + -0.05118443)) + -0.029485539) * w1"
17,1.0180363e-6,"(w1 + (0.0002498552 / w2)) * (((((w1 * -1.0288765) + -0.050657798) + w1) * w1) + -0.030052716)"
19,1.0176035e-6,"((w1 + (0.0002498552 / w2)) * ((((-1.0288765 * w1) + (-0.050657798 + w1)) * w1) + -0.030052716)) + t"
21,9.1408555e-7,"(w2 * (w1 / (w2 - -0.004156862))) * (((((w1 * -1.0263597) + (w1 + -1.0469724)) * w1) + w1) + -0.028962404)"
23,9.0000833e-7,"(w2 * ((w1 / (w2 - -0.004530128)) + -0.004156862)) * ((((((w1 * -1.0263597) + w1) + -1.0469724) * w1) + w1) + -0.028962404)"
25,8.9583625e-7,"((w1 / (w2 - -0.005426563)) + -0.0041883024) * (w2 * ((w1 + (w1 * ((w1 + (-1.0469012 - t)) + (w1 * -1.026735)))) + -0.028649826))"
27,8.923501e-7,"(w2 * ((t + ((w1 * ((((((w1 * -1.0263435) + w1) + -1.0469613) * w1) + -0.029012984) + w1)) * w1)) / (w2 - -0.0044127977))) / w1"
29,8.919577e-7,"w2 * ((((t + (((((w1 + (w1 * -1.0263435)) + -1.0469613) * w1) + (-0.029012984 + w1)) * (w1 * w1))) / (w2 - -0.0044127977)) / w1) + t)"
