Complexity,Loss,Equation
1,3.8987047e-5,"0.0011852974"
3,2.9073228e-6,"w1 * -0.009337742"
5,2.9030632e-6,"(w1 * -0.009334957) + t"
6,2.8979227e-6,"(w1 - sqrt(t)) * -0.009332252"
7,2.819961e-6,"(w1 * -0.009226195) - (t / -0.024716621)"
8,2.7715457e-6,"((2.296957e-7 / sqrt(t)) + -0.009520293) * w1"
9,1.3763284e-6,"(-0.010955604 / ((w1 * w1) + 0.5798613)) * w1"
11,1.373524e-6,"(t - (w1 * 0.011261596)) / ((w1 * w1) + 0.6117768)"
12,1.01187e-6,"w1 * (-0.0069232546 - (0.0013240617 / (sqrt(0.0013240617) + (w1 * w1))))"
14,9.700201e-7,"(w1 * -0.0069232546) - (0.0013240617 / ((15.839667 / (w1 / sqrt(t))) + w1))"
16,9.510384e-7,"(w1 * -0.007227586) - (0.0011126635 / (w1 + (11.61261 / ((w1 / sqrt(t)) - w2))))"
18,9.454111e-7,"(w1 * -0.007227586) - (0.0011126635 / ((w1 + -0.015250927) + (11.61261 / ((w1 / sqrt(t)) - w2))))"
20,6.574012e-7,"(w1 * -0.0072149993) - (0.0010677037 / (w1 + (w2 * (3.9714806 / ((w1 / (sqrt(t) * w2)) + -11.512525)))))"
22,4.8805714e-7,"(w1 * -0.007956245) - (0.00066049414 / ((((1.0719824 / (((w1 / sqrt(t)) / w2) + -16.071474)) + -0.042734053) * w2) + w1))"
24,4.7837943e-7,"(w1 * -0.007956245) - (0.00066049414 / ((((1.0719824 / (((w1 / sqrt(t)) / w2) + -16.071474)) + -0.042734053) * (w2 + w1)) + w1))"
26,4.7739684e-7,"((w1 * -0.007956245) - (0.00066049414 / (w1 + (((1.0719824 / (((w1 / sqrt(t)) / w2) + -16.071474)) + -0.042734053) * (w2 + w1))))) + t"
