Complexity,Loss,Equation
1,3.979335e-5,"0.0006718314"
3,2.85612e-6,"w1 * -0.009508001"
5,2.8520242e-6,"t + (w1 * -0.0095048975)"
6,2.8493823e-6,"-0.009508001 * (w1 - sqrt(t))"
7,2.8145691e-6,"(-0.009520207 - (-2.7931274e-6 / w2)) * w1"
8,2.8077432e-6,"w1 * (-0.008648558 - sqrt(t * 0.078796186))"
9,1.5390825e-6,"(-0.00786871 - ((w2 * w2) * 0.0035623796)) * w1"
11,1.5248132e-6,"(-0.007874866 - (w2 * ((w2 - 0.07752803) * 0.0036016568))) * w1"
13,1.23562e-6,"(-0.008436242 - (((w2 * (w2 * w2)) * w2) * 0.002316351)) * w1"
15,1.1704296e-6,"(-0.008568547 - (((w2 * 0.0022130369) * w2) * ((w2 + w1) * w2))) * w1"
17,1.1295228e-6,"(-0.008459722 - (w2 * (w2 * (((w2 + (w1 + w2)) * 0.0011815402) * w2)))) * w1"
19,1.1203655e-6,"w1 * (-0.008459803 - ((w1 + (w2 + w2)) * (((w2 * (w2 + -0.08075029)) * w2) * 0.0011935986)))"
21,9.152624e-7,"(w1 * -0.008524467) - ((((w2 * 0.0025672647) * (w2 + w1)) + t) * (w2 * ((w2 * w1) + -0.11353312)))"
23,8.449355e-7,"(w1 * -0.008736804) - (((w2 * (w2 * 0.0014217491)) * ((w2 + w1) * ((w1 * w2) + -0.09765692))) * (w2 * w2))"
25,8.134145e-7,"(w1 * -0.0087389015) - (((w2 * ((w1 * w2) + -0.10177952)) * (w2 * (((w2 + w1) * 0.0014675457) + -0.00021812548))) * (w2 * w2))"
27,8.104391e-7,"((w1 * -0.008735963) - ((((w2 * (((w1 + w2) * 0.0014682049) + -0.00022541323)) * w2) * (w2 * w2)) * ((w1 * w2) + -0.10176974))) + t"
29,8.1043504e-7,"((-0.008738234 * w1) - ((((((w1 * w2) + -0.10176982) * w2) * (((w1 + (-0.0061004204 + w2)) * 0.0014677319) + -0.00020923348)) * w2) * (w2 * w2))) + t"
30,8.097585e-7,"((w1 * -0.008735963) - ((((w2 * ((w1 * w2) + -0.10176974)) * (((sqrt(t) + (w1 + w2)) * 0.0014682049) + -0.00022541323)) * (w2 * w2)) * w2)) + t"
