Complexity,Loss,Equation
1,3.6626283e-5,"-0.0020072062"
3,2.8647864e-6,"w1 * -0.009141874"
5,2.585606e-6,"(w1 * -0.008944938) + -0.0005447044"
7,2.5841155e-6,"(-0.0005411392 - t) + (w1 * -0.00894228)"
8,2.4313806e-6,"((w1 * -0.008099807) - sqrt(t)) + 0.0011893125"
9,1.7977972e-6,"-0.0889613 / ((w1 - (-1.8070189 / w1)) / 0.25564986)"
11,1.2347508e-6,"(w1 * -0.02158393) / (((w2 * w2) / -1.3291639) - -2.8272665)"
13,9.951999e-7,"((w1 * -0.021081425) / (((w2 * w2) / -1.3142734) - -2.8277757)) - 0.0005047689"
15,9.846405e-7,"((w1 * -0.021081425) / (((w2 - -0.014812588) * (w2 / -1.3142734)) - -2.8277757)) - 0.0005047689"
17,8.8971376e-7,"(-0.02097391 / ((w2 * (w2 / -1.3291945)) - -2.8277907)) * (w1 - ((2.331609 - w2) * -0.020970924))"
19,8.894972e-7,"(t + (-0.020980753 / ((w2 * (w2 / -1.3292338)) - -2.8278112))) * (w1 - ((2.331612 - w2) * -0.021030439))"
21,7.0545155e-7,"((w1 + ((w2 - 1.4506066) * -0.02746398)) / ((w2 * (((0.33139572 * w1) + w2) / -1.3259482)) - -2.8262923)) * -0.021352258"
23,6.9802365e-7,"((w1 + ((w2 - 2.1807618) * -0.031666365)) * (-0.021401618 / ((((w1 * 0.32950637) + w2) * (w2 / -1.3288075)) - -2.827625))) - -0.00035217573"
25,6.9789814e-7,"((((w1 + -0.020969672) - ((2.3708186 - w2) * -0.030025594)) * -0.021364324) / ((((w1 * 0.32883877) + w2) * (w2 / -1.3290017)) - -2.8277123)) - -0.00014313027"
27,6.8562275e-7,"(((w1 + -0.022331813) - ((2.3707805 - (w2 * 1.2373655)) * -0.02678167)) * 0.021476625) / ((-2.8280365 - t) - ((w2 / -1.3292307) * ((w1 * 0.4330463) + w2)))"
