Complexity,Loss,Equation
1,1.0571012e-5,"0.005243546"
3,3.4169605e-6,"w1 * -0.008641944"
5,3.1631837e-6,"(w1 * -0.007473101) + 0.0009421364"
6,3.1304644e-6,"sqrt(t) + (w1 * -0.0075170225)"
8,1.6253969e-6,"w1 * ((exp(w1) / -48.779533) + 0.00025110063)"
12,1.6150966e-6,"(((t + 0.00074101525) + (exp(w1) * -0.016865365)) / 0.7607489) * w1"
15,1.4841052e-6,"((w1 / ((w1 + -1.0215299) * exp(w1 * -0.72019917))) / exp(t)) / 34.887615"
16,1.3824601e-6,"w1 * (exp(t) / (((w1 / w1) * 42.227013) * ((w1 + w1) + -1.0100026)))"
24,1.3744905e-6,"(((w1 * 0.0049627107) - (t * 6.300474)) * -8.491134) / ((exp(0.7120761 - ((w1 + -0.04310427) + t)) - (w1 * 0.8462523)) + -0.5461243)"
26,1.2391097e-6,"(w1 * -6.824279) * (t + ((1.3180645 / exp(exp(t * -3.592179e8) + (((1.5057417 ^ w1) + 3.321642) - (w1 + exp(w1))))) * 0.080174655))"
