Complexity,Loss,Equation
1,0.00036230893,"-0.0046908744"
3,0.00020793281,"CapacitorVoltage_V * -0.00084684894"
5,2.1182796e-5,"(CapacitorVoltage_V * -0.00236046) + 0.027388226"
7,2.118244e-5,"((CapacitorVoltage_V - -0.027453199) * 0.99763954) - CapacitorVoltage_V"
8,2.0162583e-5,"((CapacitorVoltage_V - sqrt(CapacitorVoltage_V)) * -0.0028664356) + 0.024497062"
10,2.0114108e-5,"((CapacitorVoltage_V * -0.0030011155) + 0.023697866) - (sqrt(CapacitorVoltage_V) * -0.0036381523)"
11,1.1910735e-5,"(((CapacitorVoltage_V * 8.813068e-6) - 0.00029097803) * (CapacitorVoltage_V * CapacitorVoltage_V)) + 0.025036916"
13,1.19107135e-5,"((L_H + (CapacitorVoltage_V * CapacitorVoltage_V)) * ((CapacitorVoltage_V * 8.816341e-6) - 0.00029103516)) + 0.0250327"
14,1.1213151e-5,"((-3.9652372e-5 - (sqrt(Vin_V - CapacitorVoltage_V) * 3.803606e-5)) * (CapacitorVoltage_V * CapacitorVoltage_V)) + 0.024338482"
15,1.0048232e-5,"((CapacitorVoltage_V - 4.3270655) * ((-0.00041367117 - ((0.0051364345 - CapacitorVoltage_V) * 1.3741403e-5)) * CapacitorVoltage_V)) + 0.022124806"
16,1.0020887e-5,"((CapacitorVoltage_V - 4.858884) * (((CapacitorVoltage_V - (Vin_V + sqrt(CapacitorVoltage_V))) * 1.6826218e-5) * CapacitorVoltage_V)) + 0.021614792"
18,1.000304e-5,"((CapacitorVoltage_V - 4.8588834) * (((CapacitorVoltage_V - 0.23455198) - (Vin_V + sqrt(CapacitorVoltage_V))) * (CapacitorVoltage_V * 1.6349508e-5))) + 0.021558978"
19,9.61509e-6,"((((-0.0005631233 - ((sqrt(CapacitorVoltage_V) - CapacitorVoltage_V) * 2.08609e-5)) * CapacitorVoltage_V) - -0.0019173686) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V))) + 0.02283058"
21,9.614915e-6,"((((-0.0005631233 - ((sqrt(CapacitorVoltage_V) - CapacitorVoltage_V) * 2.08609e-5)) * CapacitorVoltage_V) - -0.0019173686) * ((CapacitorVoltage_V - sqrt(CapacitorVoltage_V)) + 0.0017011832)) + 0.02283058"
23,9.540005e-6,"((((-0.00061817945 - ((sqrt(CapacitorVoltage_V) - CapacitorVoltage_V) * 2.2804517e-5)) * (CapacitorVoltage_V - -0.8349434)) - -0.002337298) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V / 0.5863281))) + 0.02305383"
24,9.483021e-6,"(((0.00037073114 - ((sqrt(CapacitorVoltage_V) - CapacitorVoltage_V) * -1.581913e-5)) * ((sqrt(CapacitorVoltage_V) - CapacitorVoltage_V) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V / 0.35069963)))) + 0.012383242) / 0.5404619"
26,9.47465e-6,"((-0.000276501 - (((Vin_V - (sqrt(Vin_V) - -0.44110036)) - CapacitorVoltage_V) * 2.7391397e-5)) * ((CapacitorVoltage_V - sqrt(CapacitorVoltage_V)) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V / 0.31083074)))) - -0.02274429"
28,8.894374e-6,"(((CapacitorVoltage_V - sqrt(CapacitorVoltage_V / 0.21408229)) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V))) * (-0.0014758921 - (((sqrt(Vin_V - CapacitorVoltage_V) * -1.451532) - CapacitorVoltage_V) * 5.258774e-5))) - (L_H + -0.023217645)"
30,8.893604e-6,"(((CapacitorVoltage_V - sqrt(CapacitorVoltage_V)) * (-0.0014771948 - ((((sqrt(Vin_V - CapacitorVoltage_V) * -1.4516065) - CapacitorVoltage_V) - L_H) * 5.2633135e-5))) * (CapacitorVoltage_V - sqrt(CapacitorVoltage_V / 0.21460508))) - (L_H + -0.023251189)"
