Complexity,Loss,Equation
1,8.218782e-6,"-0.019073568"
3,4.5830873e-7,"CapacitorVoltage_V * -0.0009993081"
5,4.5517416e-7,"(CapacitorVoltage_V * -0.0010196705) + 0.00039674735"
9,4.5305285e-7,"((0.008340385 / CapacitorVoltage_V) + -0.0005616093) - (CapacitorVoltage_V * 0.0009929639)"
11,2.364531e-7,"L_H * ((0.95692027 / ((CapacitorVoltage_V + CapacitorVoltage_V) - Vin_V)) - CapacitorVoltage_V)"
13,2.3463996e-7,"L_H * ((0.9569305 / ((CapacitorVoltage_V - L_H) + (CapacitorVoltage_V - Vin_V))) - CapacitorVoltage_V)"
15,2.3280766e-7,"L_H * ((0.9569305 / (((CapacitorVoltage_V - L_H) - L_H) + (CapacitorVoltage_V - Vin_V))) - CapacitorVoltage_V)"
18,5.4805913e-8,"(((sqrt(sqrt(Vin_V)) / ((CapacitorVoltage_V + CapacitorVoltage_V) - (Vin_V - -0.062602095))) / sqrt(Vin_V)) - CapacitorVoltage_V) * L_H"
20,4.403222e-8,"(sqrt(Vin_V) / (((CapacitorVoltage_V - (Vin_V + L_H)) + (CapacitorVoltage_V - 0.0642347)) / (L_H / CapacitorVoltage_V))) - (CapacitorVoltage_V * L_H)"
22,4.11686e-8,"(sqrt(L_H) / ((((CapacitorVoltage_V - (Vin_V + 0.06422761)) + (CapacitorVoltage_V - L_H)) / L_H) / CapacitorVoltage_V)) - (L_H * (CapacitorVoltage_V + 0.05072782))"
27,1.4747323e-8,"(((CapacitorVoltage_V - -0.8651753) * (1.2065929 / ((((CapacitorVoltage_V + ((CapacitorVoltage_V - Vin_V) - (0.06463423 - L_H))) / L_H) / (CapacitorVoltage_V - -1.0654415)) - 0.8176045))) - CapacitorVoltage_V) * L_H"
29,1.3862112e-8,"((((CapacitorVoltage_V - -0.1650113) * 1.2065929) / (((((CapacitorVoltage_V + (CapacitorVoltage_V - Vin_V)) - (0.06463423 - L_H)) / L_H) / (CapacitorVoltage_V - -1.0654415)) - 0.8176045)) - (CapacitorVoltage_V + L_H)) * L_H"
30,1.2442006e-8,"((((1.2065929 * CapacitorVoltage_V) - -0.8651753) / ((((CapacitorVoltage_V + ((CapacitorVoltage_V - Vin_V) - (0.06463423 - L_H))) / L_H) / (CapacitorVoltage_V - -1.0654415)) - 0.8176045)) - (CapacitorVoltage_V + sqrt(L_H))) * L_H"
