Complexity,Loss,Equation
1,8.21878e-6,"-0.019074062"
3,4.5830873e-7,"CapacitorVoltage_V * -0.0009993081"
5,4.551741e-7,"(CapacitorVoltage_V - 0.39025214) * -0.0010197307"
6,4.4782712e-7,"(sqrt(CapacitorVoltage_V) * -0.008621721) + 0.018497916"
8,4.4770135e-7,"(sqrt(CapacitorVoltage_V - -1.9381357) * -0.00908332) + 0.022490596"
9,4.037918e-7,"((-0.7376111 / (-11.778406 + CapacitorVoltage_V)) + CapacitorVoltage_V) * -0.0010056251"
11,2.2772736e-7,"(0.0010000186 / (CapacitorVoltage_V + (CapacitorVoltage_V - Vin_V))) + (CapacitorVoltage_V * -0.0010049661)"
13,2.4613483e-10,"(3.9640563e-6 / (CapacitorVoltage_V + (-0.082567714 - (Vin_V - CapacitorVoltage_V)))) + (CapacitorVoltage_V * -0.0009998825)"
15,2.445302e-10,"((4.027491e-6 / ((CapacitorVoltage_V + -0.08256771) - (Vin_V - CapacitorVoltage_V))) / 1.0159832) + (CapacitorVoltage_V * -0.0009999389)"
16,2.381896e-10,"(-2.1757296e-6 / ((CapacitorVoltage_V - Vin_V) + (CapacitorVoltage_V + -0.08282422))) + ((CapacitorVoltage_V - sqrt(L_H)) * -0.0010015272)"
21,2.346701e-10,"((((CapacitorVoltage_V * L_H) + CapacitorVoltage_V) - (0.4011554 / CapacitorVoltage_V)) * -0.0009999883) + (-2.1750443e-6 / (CapacitorVoltage_V + ((CapacitorVoltage_V + -0.08282421) - Vin_V)))"
23,2.344727e-10,"((CapacitorVoltage_V + ((L_H * CapacitorVoltage_V) - (-0.40350413 / (CapacitorVoltage_V * -1.0287501)))) * -0.0009999825) + (-2.1749418e-6 / ((CapacitorVoltage_V - Vin_V) + (CapacitorVoltage_V + -0.08282421)))"
25,2.3447252e-10,"((CapacitorVoltage_V + ((L_H * (CapacitorVoltage_V + L_H)) - (-0.40350413 / (CapacitorVoltage_V * -1.0287501)))) * -0.0009999825) + (-2.1749418e-6 / ((CapacitorVoltage_V - Vin_V) + (CapacitorVoltage_V + -0.08282421)))"
27,2.3445676e-10,"(((L_H * -0.12620607) + (CapacitorVoltage_V + ((L_H * CapacitorVoltage_V) - (-0.40350413 / (CapacitorVoltage_V * -1.0287501))))) * -0.0009999825) + (-2.1749418e-6 / (CapacitorVoltage_V + ((CapacitorVoltage_V - Vin_V) + -0.08282421)))"
29,2.2701935e-10,"((CapacitorVoltage_V - (((Vin_V * 3.4726287e-7) * ((CapacitorVoltage_V - (Vin_V - 2.0899606)) * (CapacitorVoltage_V - Vin_V))) * Vin_V)) * -0.0010000911) + (-2.1978592e-6 / ((CapacitorVoltage_V + (CapacitorVoltage_V + -0.08282604)) - Vin_V))"
30,2.195492e-10,"((1.3736875e-6 / (((CapacitorVoltage_V + -0.08267493) + CapacitorVoltage_V) - Vin_V)) + (CapacitorVoltage_V * -0.0009999946)) - ((CapacitorVoltage_V - (Vin_V - sqrt(Vin_V))) * ((((CapacitorVoltage_V - Vin_V) * Vin_V) * Vin_V) * -4.2412424e-10))"
