Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) + 0.09633953) * 4.272862"
8,6.124581e-5,"sqrt(x0 * (23.052229 - (x0 * 0.43269154)))"
10,5.4278476e-5,"sqrt(x0 * (23.10833 - (x0 * 0.43636927))) - 0.0074070124"
12,7.375287e-6,"sqrt(x0) * (4.787147 - ((0.039677497 - (x0 * -0.0006284837)) * x0))"
13,7.375242e-6,"sqrt(x0) * (4.787147 - ((0.039677497 - sin(x0 * -0.0006284837)) * x0))"
14,3.7766376e-6,"(sqrt(x0) * (4.7800264 - (((x0 * 0.0006914201) - -0.038512822) * x0))) + 0.0060707266"
17,1.2159497e-6,"(sqrt(x0) * (4.771305 - ((0.02995877 - ((x2 - sqrt(x0)) * 0.0046559502)) * x0))) + 0.008810383"
18,8.3559456e-7,"(sqrt(x0) * (4.7648306 - ((0.0131643 - ((x2 - sqrt(sqrt(x0))) * 0.01740739)) * x0))) + 0.010533841"
20,8.3552334e-7,"(((4.764841 - ((0.014155355 - (x2 - (sqrt(sqrt(x0)) * 0.017403193))) * x0)) * sqrt(x0)) + 0.011532367) - x2"
22,8.35444e-7,"((0.9726231 - ((0.0036880346 - (x2 - (sqrt(sqrt(x0)) * 0.003551092))) * x0)) * sqrt(x1 * x0)) + (0.011524997 - x2)"
24,7.667824e-7,"((sqrt(x0) * (4.7728577 - ((0.015622384 - (x2 - (sqrt(sqrt(x0)) * 0.016764749))) * x0))) + 0.013188648) - (sqrt(sqrt(x0)) * 0.009899458)"
27,7.6617795e-7,"(sqrt(x0) * (4.7727056 - ((0.015589029 - (x2 - (sqrt(sqrt(x0)) * 0.016779872))) * x0))) + (0.014138272 - (sin(sqrt(sqrt(x0)) * 0.009719638) + x2))"
