Complexity,Loss,Equation
1,54.316387,"3.03672"
3,52.234707,"22.127073 - x0"
5,51.28261,"15.27484 - (x0 * 0.64105624)"
6,51.02149,"27.677689 - sqrt(x0 * 31.979431)"
8,49.530582,"(cos(x0 * -0.5638159) - x0) + 21.969406"
9,47.605713,"102.83703 - (((x0 * -0.27307436) + 10.546523) * x0)"
10,46.891514,"(sin(x0 * 0.26023284) + 1.1973807) * (25.842798 - x0)"
11,46.53214,"(sin(cos(x0 * -0.5508614)) + 0.9739914) * (22.924726 - x0)"
12,46.337814,"(sin(sin(cos(x0 * -0.5508614))) + 0.9739914) * (22.924726 - x0)"
13,46.29956,"((sin(cos(x0 * -0.53857166)) + 0.6708826) * (21.977394 - x0)) + 1.9099405"
15,46.296738,"((sin(cos(x0 * -0.5406194)) + 0.77308285) * ((22.307594 - x0) * 0.93333066)) - -1.4846035"
16,45.848316,"cos(x0) + (cos(cos(x0)) * (185.15016 - (x0 * (19.671993 - (x0 * 0.52488065)))))"
18,45.705948,"(cos(cos(x0)) * ((18.522942 - x0) * (11.681522 - (x0 * 0.630663)))) - (cos(x0) * -1.8663754)"
20,45.512856,"((cos(cos(x0)) * (12.5310335 - (x0 * 0.6925649))) * (19.000238 - x0)) - (cos(x0 * 0.84371835) * 2.2572374)"
22,45.510895,"(cos(cos(x0)) * ((19.314066 - x0) * (12.816564 - (x0 * 0.71977246)))) - (cos((x0 * 0.8034843) + 0.746119) * 2.4252057)"
24,45.355286,"((cos(cos(x0 + 0.21396898)) * (19.233068 - x0)) * (12.05148 - (x0 * 0.6627757))) - (cos((x0 * 0.7560832) + 1.4481531) * 2.2418)"
26,45.355175,"((cos(cos(x0 + 0.21396898)) * ((19.233068 - x0) * (12.05148 - (x0 * 0.6627757)))) - (cos((x0 * 0.7560832) + 1.4481531) * 2.2418)) - x2"
