Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.127071 - x0"
4,51.55449,"exp(23.845037 / x0)"
5,48.321632,"x1 / (x0 - 10.796219)"
6,46.223213,"exp(exp(cos(x0 / 2.0354002)))"
8,46.181526,"exp(exp(cos(x0 / 2.0342028))) + 0.20528868"
10,46.168625,"exp(exp(cos((x0 + -0.43471) / 1.977651))) + 0.14037175"
11,45.903557,"exp(exp(cos((x0 / 1.8092707) + -0.94401383))) + cos(x0)"
13,45.865814,"cos(x0 / -1.0195549) + exp(exp(cos((x0 + -1.4860085) / 1.8366364)))"
15,45.789734,"exp(exp(cos((x0 / 1.8813689) + -0.67064774))) + cos((x0 / 1.2520876) + -2.9215617)"
17,45.789062,"exp(exp(cos((x0 / 1.8772624) + -0.6839586))) + cos((x0 / 1.2417064) + (x1 / -1.5368665))"
18,45.661957,"exp((cos(x0 * (x2 * (6.2457643 / (0.91645706 / x0)))) * 5.349089) + sin(x0)) - -2.0525653"
20,45.651527,"exp((sin(x0) - 1.2724783) + (cos(((x2 / (0.49229705 / x0)) * 2.9447675) * x0) * 6.4964304)) - -2.0644104"
22,45.288097,"sqrt(sqrt(x0 + exp(cos((37.29591 / (6.029764 / x0)) * (x0 * x2)) * (exp(exp(sin(x0))) + 15.983208))))"
23,45.27863,"sqrt(sqrt(x0 + exp(cos((x0 * (x2 * 59.804886)) / sin(10.525043 / x0)) * (exp(exp(sin(x0))) + 17.04287))))"
24,45.212414,"sqrt(sqrt(exp((exp(exp(sin(x0 - 0.12984821))) + 16.404713) * cos(((x0 * x2) * 22.778833) / (3.7005343 / x0))) + x0))"
26,45.210255,"sqrt(sqrt(exp((exp(exp(sin(x0 - 0.1298309))) + 16.404716) * cos((x0 * (x2 * 22.77882)) / (3.700595 / x0))) + (x0 * 1.0941763)))"
28,45.156727,"sqrt(sqrt(exp((exp(exp(sin(x0 - 0.17091928))) + 16.798761) * cos(x0 * (x2 * (28.223589 / (4.639214 / x0))))) + (x0 * 6.62778))) - 1.245057"
