Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.1002193,"sqrt(x0 * 19.764023)"
5,0.100219294,"sqrt(sqrt(390.61615) * x0)"
6,0.058348853,"sqrt(x0 * 18.257847) - -0.41154173"
7,0.02830498,"sqrt(x0 * (22.423223 - sqrt(x0)))"
8,6.1264094e-5,"sqrt(((x0 * -0.43241268) + 23.049994) * x0)"
9,1.7170038e-5,"sqrt(sqrt((x0 * -17.297823) + 523.96124) * x0)"
11,9.972814e-6,"sqrt(sqrt((x0 * -17.19983) + 522.3793) * x0) + 0.005529841"
13,9.7554785e-6,"(x2 + sqrt(sqrt((x0 * -17.104984) + 521.1778) * x0)) - -0.0073185847"
14,8.61682e-6,"sqrt(x0) * (sqrt(sqrt(((x0 * -0.66841793) + x1) * 50.046898)) + -1.0978408)"
16,5.6481326e-7,"(sqrt(((22.429005 - (x0 * 0.48715442)) + 0.07882212) * x0) + 0.013231689) + (x0 * 0.039069895)"
22,5.615437e-7,"(sqrt(((22.43089 - (x0 * 0.48674956)) + 0.080641136) * x0) + ((x2 + ((x0 * 0.038786598) + 0.06011778)) + 0.21527712)) - 0.26323906"
23,5.3011e-7,"(sqrt(x0 * (15.969431 - ((x0 * 0.39434126) + 0.116112255))) + ((x0 * 0.032823678) + 0.011923837)) + (sqrt(x0 * 7.5709844) * 0.2793938)"
25,5.287312e-7,"(sqrt(x0 * (15.969431 - ((x0 * 0.39434126) + 0.116112255))) + (((x2 + x0) * 0.032823678) + 0.011923837)) + (sqrt(x0 * 7.5709844) * 0.2793938)"
