Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
6,1.4197582,"sqrt(x0) + (x0 + 2.0090382)"
7,1.277816,"(sqrt(sqrt(x0)) + 2.541219) + x0"
9,1.1979587,"sqrt(sqrt(x0 + x0)) + (x0 + 2.3026745)"
10,1.1218511,"(x0 + 2.018781) + sqrt(sqrt(x0) + sqrt(x0))"
11,0.9488148,"((sqrt(x0) + sqrt(x0)) + sqrt(x0)) + sqrt(x0)"
12,0.83669907,"((sqrt(x0) + sqrt(x0)) + sqrt(x0 + x0)) - -1.9516579"
13,0.10444586,"(sqrt(x0 + x0) + (sqrt(x0) + sqrt(x0))) + sqrt(x0)"
15,0.07944193,"sqrt(x0) + (((sqrt(x0 + x0) + sqrt(x0)) + sqrt(x0)) - -0.1581272)"
16,0.034204584,"(sqrt(sqrt(x0)) + sqrt(x0)) + (sqrt(x0 + x0) + sqrt(x0 + x0))"
18,0.03143086,"sqrt(x0 + x0) + ((sqrt(sqrt(x0)) + (sqrt(x0) + sqrt(x0 + x0))) - 0.052663453)"
20,0.03143081,"sqrt(x0 + x0) + ((((sqrt(x0 + x0) + sqrt(x0)) + sqrt(sqrt(x0))) - 0.16968697) + 0.1170228)"
21,0.02882151,"((sqrt(sqrt(x0) + x0) + (sqrt(x0 + x0) + sqrt(sqrt(x0)))) + -0.47157258) + sqrt(x0 + x0)"
23,0.027575383,"sqrt(sqrt(x0)) + ((sqrt(sqrt(x0 + 0.00953822) + x0) + (sqrt(x0 + x0) + sqrt(x0 + x0))) + -0.47885576)"
25,0.02735231,"sqrt(sqrt(x0 + 0.0024460526)) + (((sqrt(x0 + x0) + sqrt(x0 + sqrt(x0 + 0.0024460526))) + sqrt(x0 + x0)) + -0.47679058)"
29,0.026009258,"((sqrt(x0) + (sqrt(x0) + sqrt(((sqrt(x0 + x0) + sqrt(x0 + 0.023634387)) + (x0 + sqrt(x0))) + sqrt(x0)))) + sqrt(x0)) + -0.5378737"
