Complexity,Loss,Equation
1,54.316387,"3.0363488"
3,52.234707,"22.12707 - x0"
5,48.0776,"19.706692 / (x0 - 11.142834)"
7,48.02572,"(x1 / (x0 - 10.939718)) + -0.60014963"
8,46.372353,"x0 / ((-11.697946 - sin(x0)) + x0)"
10,46.059467,"(x0 + -4.0402923) / (x0 + (-12.000874 - sin(x0)))"
12,45.943913,"(x0 + -6.5210896) / (x0 + (sin(x0 + 2.85899) + -12.414774))"
14,45.88949,"((x0 + -8.187917) / (sin(x0 + 2.8945274) + (x0 + -12.481825))) + 0.53585964"
15,45.887867,"((x0 + -8.187917) / (sin(x0 + 2.8945274) + (x0 + -12.481825))) + sin(0.5418902)"
16,45.77077,"(x0 + -3.676023) / ((x0 - (cos(cos(x0)) + 11.149539)) + sin(x0 + 3.34598))"
18,45.69716,"(x0 + -4.953386) / ((sin(x0 + 3.2701492) + x0) - (cos(cos(x0 + -0.1584125)) + 11.312636))"
19,45.520702,"(x0 + -6.540681) / (cos(((cos(x0 + 1.2261217) + x0) - -0.7607541) + x0) + (x0 - 12.563545))"
21,45.469795,"((x0 + -6.8758006) / ((x0 - 12.574775) + cos(cos(x0 + 1.225483) + ((x0 - -0.7623355) + x0)))) + 0.33468845"
23,45.43869,"((x0 + -6.8754582) / (cos((cos(x0 + 1.2239441) + (x0 - -0.76384705)) + x0) + (x0 - 12.574841))) + (x0 * 0.016036734)"
25,45.35823,"(((x0 + -6.8746185) / (cos((x0 - -0.76772225) + (cos(x0 + 1.2202616) + x0)) + (x0 - 12.580558))) + (x0 * 0.06984062)) - 1.0562054"
27,45.21435,"(((x0 + -3.9000173) / ((x0 - 12.442214) + cos(x0 + (cos(x0 + 1.1774604) + (x0 - -0.7369461))))) + ((x0 - 12.616713) * 0.29001707)) + -2.1659434"
29,45.21295,"x2 + (((x0 + -3.8720555) / ((x0 - 12.439424) + cos(((x0 + cos(x0 + 1.2162958)) + x0) - -0.7758183))) + (((x0 - 12.615064) * 0.28789368) + -2.1599414))"
30,45.21165,"(((x0 + sin(x2)) / ((x0 - 12.221237) + cos((cos(x0 + 1.2966242) + (x0 - -0.88429046)) + x0))) + (((x0 - 12.924143) * 0.35796568) + -2.816469)) - 0.19762726"
