Complexity,Loss,Equation
1,54.316383,"3.035212"
3,52.234707,"22.12707 - x0"
5,51.02558,"sin(log(x0)) * 14.331966"
6,46.76424,"exp(exp(sin(x0 * -0.3833487)))"
8,46.18325,"exp(exp(sin((x0 * 0.51266354) - -1.2406008)))"
10,45.765614,"log(exp(sin(x0 * 0.4041813) * -17.457962) + 8.594792)"
11,45.639904,"log(exp(sin(sin(x0 * 0.40733638)) * -20.328222) + 8.583217)"
12,45.55978,"log(exp(sin(sin(sin(x0 * 0.40933993))) * -22.645376) + 8.633679)"
13,45.227497,"log(exp(sin(sin(x0 * 0.4172701) * 2.334428) * -15.673197) + 8.644066)"
14,45.072887,"log(exp(sin(exp(sin(x0 * 0.36936352) * -1.645914)) * -15.306405) + 8.627008)"
15,45.030876,"log(exp(sin(sin(exp(sin(x0 * 0.370846) * -1.6546112))) * -17.994587) + 8.632575)"
16,44.940655,"log(exp(sin(sin(sin(x0 * 0.4239321) * 2.786259) * 2.015835) * -14.965253) + 8.687841)"
17,44.927525,"log(exp(sin(sin(sin(sin(x0 * 0.4243557) * 2.904149) * 2.0709624)) * -17.36063) + 9.054459)"
18,44.919525,"log(exp(sin(sin(sin(sin(sin(x0 * 0.4243457) * 2.3817472)) * 2.2969608)) * -17.287872) + 8.379166)"
19,44.91546,"log(exp(sin(sin(sin((sin(x0 * 0.42305955) * 2.8155334) - -0.11395683) * 2.082405)) * -17.361284) + 8.862572)"
20,44.86188,"log(exp(sin(sin(sin(sin((sin(x0 * 0.42351735) * 3.069796) - -0.12009642)) * 2.3521802)) * -17.249977) + 8.384183)"
22,44.821583,"log(exp(sin(sin(sin((sin(sin(x0 * 0.42379853) * 2.8263466) * 2.469213) - -0.3758035) * 1.7399423)) * -17.048319) + 8.8196335)"
23,44.76229,"log(exp(sin(sin(sin(sin(sin((sin(x0 * 0.4243457) * 3.0167093) - -0.15039903) * 2.469213)) * 2.2969608)) * -17.287872) + 8.379166)"
24,44.753914,"log(8.640554 + exp(-17.287872 * sin(sin(sin(sin(sin(sin((sin(x0 * 0.4243454) * 3.0167093) - -0.15039903)) * 3.0167093)) * 2.2969608))))"
25,44.747696,"log(exp(sin(sin(sin(sin(sin((sin(x0 * 0.4243457) * 3.0167093) - -0.15039903) * 2.3817472)) * 2.2969608)) * -17.287872) + (0.4243457 * x0))"
27,44.74325,"log((exp(sin(sin(sin(sin(sin(sin((sin(x0 * 0.4243454) * 3.0167093) - -0.15039903)) * 3.0167093)) * 2.2969608)) * -17.287872) + 8.640554) + sin(x0))"
28,44.70798,"log((exp(sin(sin(sin(sin((sin(x0 * 0.42445928) * 3.027488) - -0.1419611) * 2.484429) * 2.0340536)) * -17.36222) + sin(exp(x0 + x0))) + 8.552648)"
29,44.669113,"sin(exp(x0 + x0)) + log(exp(sin(sin(sin(sin(sin((sin(x0 * 0.4245305) * 3.0667374) - -0.110959135)) * 2.6954498)) * 1.234738) * -17.445425) + 8.579997)"
30,44.608433,"sin(exp(x0 + x0)) + log(exp(sin(sin(sin(sin(sin(sin((sin(x0 * 0.4243454) * 3.0167093) - -0.15039903)) * 3.0167093)) * 2.2969608)) * -17.287872) + 8.640554)"
