Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"sqrt(x0 * 18.257765) + 0.4115527"
8,6.124259e-5,"sqrt(((x0 * -0.4326153) + 23.051687) * x0)"
10,5.4231714e-5,"sqrt(((x0 * -0.43605375) + 23.10444) * x0) - 0.0070843664"
11,3.4548346e-5,"(((x0 - sqrt(x0)) * -0.060885523) + 4.7428226) * sqrt(x0)"
13,3.3049096e-6,"sqrt((((x0 - sqrt(x0)) * -0.53349864) + 22.322855) * x0) - -0.018148525"
15,8.3083887e-7,"sqrt((((x0 - log(x0 + 1.854746)) * -0.48956898) + 22.378977) * x0) + 0.011176202"
17,8.291194e-7,"(x2 + 0.0101889325) + sqrt((((x0 - log(x0 + 1.854731)) * -0.48955765) + 22.37886) * x0)"
19,7.922124e-7,"(x2 + 0.010227383) + sqrt(((((x0 + 0.6899929) - log(x0 + 1.8791702)) * -0.48922113) + 22.71285) * x0)"
23,7.9102017e-7,"((sqrt(((((x0 + 0.70069253) - log(x0 + 1.8788993)) * -0.4891578) + 22.717333) * x0) + x2) - -0.012299842) - (x2 + x2)"
25,7.9077506e-7,"sqrt((((x0 + (0.7007609 - log(x0 + 1.8788846))) * -0.48915216) + 22.717299) * x0) + ((x2 - -0.011030183) - ((x2 + x2) * 0.35058185))"
26,7.0781886e-7,"(((x2 * sin(x0)) - -0.009912242) + x2) + sqrt(x0 * ((((x0 + 0.6739665) - log((x0 + 1.8829236) * 0.8280131)) * -0.4888998) + 22.79638))"
28,7.07782e-7,"sqrt(((((x0 + 0.6740153) - log((x0 + 1.8829088) * 0.8279545)) * -0.48888433) + 22.796286) * x0) + (((x2 * sin(x0)) + (x2 - -0.008927583)) + x2)"
