Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405168,"x0 + 3.8029776"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.05834884,"(sqrt(x0) + 0.09633954) * 4.272862"
7,0.02830498,"sqrt(x0 * (22.423029 - sqrt(x0)))"
8,6.124303e-5,"sqrt((23.051855 - (x0 * 0.43264726)) * x0)"
10,5.423137e-5,"sqrt(x0 * (23.102571 - (x0 * 0.4359078))) - 0.006899128"
12,2.5450192e-5,"((x0 * 0.009457901) + sqrt(x0)) * (4.7568593 - (x0 * 0.05558574))"
13,8.239023e-6,"sqrt(x0) * (((x0 * (-8.096431 - sqrt(x0))) * 0.0040441807) - -4.782476)"
14,5.011887e-6,"(((x0 * 0.013217144) + sqrt(x0)) * (4.722316 - (x0 * 0.057437412))) + 0.017293008"
15,1.215999e-6,"(sqrt(x0) * ((((-6.4285326 - sqrt(x0)) * x0) * 0.004658143) - -4.771282)) + 0.008818002"
18,1.2159979e-6,"(0.008804328 - (x0 * (x0 * 0.004655918))) + ((0.4535748 - (x0 * 0.0028475486)) * (sqrt(x0) * 10.519343))"
20,5.3381257e-7,"((((-0.0047712107 - (x0 * 3.991328e-5)) * x0) + 0.46431804) * (sqrt(x0) * 10.229484)) - (-0.012193657 - (x0 * 0.032428395))"
22,5.2120504e-7,"(((0.38208553 - ((0.003888874 - (x0 * -3.4030152e-5)) * x0)) * (sqrt(x0) * 12.4334545)) - -0.012068495) - (x0 * (x1 * -0.0012999077))"
24,5.2120157e-7,"(((((0.5513104 - ((0.0056132474 - (x0 * -4.90567e-5)) * x0)) * sqrt(x0)) * 8.616905) + 0.011807668) - -0.00027087735) - (x0 * (x1 * -0.0013022032))"
25,5.0093047e-7,"(((sqrt(x0) * (0.43322212 - ((0.0044104713 - (x0 * -2.4988381e-5)) * x0))) - (log(x1 - x0) * (x0 * -0.00092467753))) * 10.9640045) + 0.0121657485"
29,5.0093024e-7,"(((((sqrt(x0) * (0.43322212 - ((0.0044104713 - (x0 * -2.4988381e-5)) * x0))) - ((log(x1 - x0) * x0) * -0.00092467753)) * 10.9640045) - x2) + 0.0121657485) + x2"
