Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802499"
4,0.10021928,"sqrt(x0 * 19.763891)"
6,0.058348853,"sqrt(x0 * 18.257828) - -0.41154608"
7,0.02830498,"sqrt((22.423264 - sqrt(x0)) * x0)"
8,6.1243845e-5,"sqrt(x0 * (23.051865 - (x0 * 0.43265063)))"
9,1.7130651e-5,"sqrt(sqrt(30.284575 - x0) * x0) * 2.0394769"
11,9.462705e-6,"sqrt((sqrt(30.429659 - x0) * x0) * 4.140569) - -0.00706304"
12,7.3752917e-6,"sqrt(x0) * ((x0 * ((x0 * -0.0006284876) + -0.03967735)) + 4.7871466)"
14,3.7766713e-6,"(((x0 * ((x0 * -0.00069129944) - 0.038514704)) + 4.780034) * sqrt(x0)) + 0.006067871"
19,2.8494865e-6,"(sqrt(x0) + 0.0015199885) * ((((((x0 * 0.00015962154) - 0.012220271) * x0) + -0.040954683) * sqrt(x0)) + 4.790229)"
21,5.2212215e-7,"(((x0 * (((2.234133 - x0) * 0.00041969822) - 0.049424965)) + ((sqrt(x0) * 0.031649973) + 4.7501817)) * sqrt(x0)) - -0.01217682"
22,5.212263e-7,"(((sqrt(x0) * 0.031079995) + (x0 * (((sqrt(x1) - x0) * 0.0004251769) - 0.05035543))) + 4.7507815) * (sqrt(x0) + 0.002531309)"
26,4.9705733e-7,"(((sqrt(x0) * 0.035841987) + ((x0 * ((sqrt(x1 - x0) * 0.0028456573) - 0.06440424)) + 4.7476597)) * sqrt(x0)) + ((x1 + -0.062267225) * 0.00052025344)"
