Complexity,Loss,Equation
1,54.316387,"3.035217"
3,52.234707,"22.127071 - x0"
5,51.282616,"15.273078 - (x0 * 0.64096946)"
6,46.223217,"exp(exp(cos(x0 * 0.4913252)))"
8,46.181526,"exp(exp(cos(x0 * 0.4916191))) - -0.20502235"
9,46.142853,"exp(exp(cos(sqrt(x0 + 3.345184) * -4.6625624)))"
10,46.051357,"exp(exp(sin(cos(sqrt(x0) * 2.793339) * -2.1425343)))"
11,45.75793,"exp(exp(sin(cos(x0) + cos(sqrt(x0) * -5.0628414))))"
12,45.739426,"exp(exp(sin(cos(sqrt(x0) * -5.079107) + sin(cos(x0)))))"
13,45.384182,"exp(exp(sin(cos(sqrt(x0) * 5.1032515) + sin(x0 + 1.2234845))))"
14,45.28049,"exp(exp(sin(cos(sqrt(x0) * -5.153607) + sin(sin(x0 * 1.0765768)))))"
15,45.274826,"exp(exp(sin(sin(sin(sin(x0 * 1.0755786))) + cos(sqrt(x0) * -5.156067))))"
16,45.27176,"exp(exp(sin(cos(sqrt(x0) * -5.1451797) + sin(sin(x0 * 1.0789837))))) - -0.11901503"
17,45.243958,"exp(exp(sin(sin(sin(sin(x0 + 1.0513064))) + cos(sqrt(x0 + 1.2412314) * -4.9573345))))"
18,45.182022,"exp(exp(sin(sin(x0 + 1.2120243) + cos(sqrt(cos(x0 + 2.2434375) + x0) * 5.176602))))"
19,45.17246,"exp(exp(sin(cos(sqrt(cos(x0 + 2.3745844) + x0) * 3.668515) + sin(sin(x0 + 0.65479374)))))"
20,45.07033,"exp(exp(sin(sin(x0 + 1.1316152) + cos(sqrt(cos(x0 + (x0 + 7.2623625)) + x0) * -5.0742254))))"
21,45.010548,"exp(exp(sin(sin(sin(x0 + 1.1300366)) + cos(sqrt(cos((x0 + x0) + 7.3295803) + x0) * -5.064323))))"
22,44.980347,"exp(exp(sin(sin(sin(sin(x0 + 1.1112177))) + cos(sqrt(cos(x0 + (x0 + 7.375664)) + x0) * -5.0632887))))"
23,44.9771,"exp(exp(sin(sin(sin(sin(sin(x0 + 1.1112177)))) + cos(sqrt(cos(x0 + (x0 + 7.375664)) + x0) * -5.0632887))))"
25,44.975998,"exp(exp(sin(sin(sin(sin(sin(x0 + 1.110059)))) + cos(sqrt(x0 + cos((x0 + -3.090406) + (x0 - -4.159574))) * -5.06635))))"
26,44.971245,"exp(exp(sin((sin(sin(sin(x0 + 1.2560153))) + cos(sqrt(x0 + cos((x0 + x0) - -7.545172)) * -5.0626435)) + 0.2536105))) + -0.34811583"
27,44.959347,"exp(exp(sin(sin(sin(sin(sin(x0 + 1.2650113)))) + (cos(sqrt(x0 + cos((x0 + x0) - -7.590902)) * -5.0611744) + 0.28862986)))) + -0.4429334"
