Complexity,Loss,Equation
1,16.40106,"x0"
3,1.9405166,"x0 + 3.802498"
6,1.3254443,"x0 + (3.9551847 - cos(x0))"
7,0.48189852,"log(exp(x0) - 0.99008024) + 4.3754835"
9,0.4818978,"(log(exp(x0) + -0.99009144) + 4.3738017) + x2"
10,0.4131993,"log(exp(x0) - sqrt(x0 + 0.9783024)) + 4.5148363"
11,0.41172886,"log(exp(x0 + 0.43405288) - (x0 + 1.5261)) + 4.1636367"
12,0.36762205,"log(exp(x0 + -0.25650272) - sin(x0 + 0.8654207)) + 4.7580185"
14,0.36761957,"x2 + (log(exp(x0 + -0.25650272) - sin(x0 + 0.8654207)) + 4.7580185)"
15,0.35320118,"log(exp(x0) - (0.88688934 - x0)) + (cos(exp(1.1635617 - x0)) + 3.4964688)"
16,0.35055178,"log(exp(x0) - (0.934579 - x0)) + (sin(cos(exp(1.3141251 - x0))) + 3.6587715)"
17,0.1852093,"log((exp(x0 + 3.8572772) + -19.489681) - x1) + cos(log(x0 - -0.08875999) + 5.262838)"
19,0.18479739,"log((exp(x0 + 3.8573325) - (x1 + x0)) + -19.489681) + cos(log(x0 - -0.08875839) + 5.2628384)"
20,0.1845869,"log((exp(x0 + 3.8587143) - (x1 + sin(x0))) + -19.489904) + cos(log(x0 - -0.0916005) + 5.264433)"
21,0.1843645,"cos(log(x0 - -0.09543151) + 5.266535) + log(exp(x0 + 3.8598082) + (-19.489946 - ((x0 + x1) + x0)))"
23,0.18435751,"cos(log(x0 - -0.09543151) + 5.266535) + (log(exp(x0 + 3.8598082) + (-19.489946 - ((x0 + x1) + x0))) + x2)"
24,0.074752554,"log((exp(x0 + 2.8077333) - -8.457198) - x1) + (cos(sqrt(exp(2.9475863 - x0) - (3.9346187 - x0)) + 5.719245) - -1.3491935)"
