Complexity,Loss,Equation
1,54.316387,"3.0360792"
3,52.234707,"22.12707 - x0"
5,49.36608,"sqrt(exp(18.190397 - x0))"
6,48.101738,"exp(15.170614 - x0) + 2.3446774"
7,47.064896,"sqrt(exp(18.058853 - x0) + 4.0257235)"
8,47.04332,"sqrt(exp(18.063116 - x0) + sqrt(x0))"
9,45.7538,"exp(sin(x0) + (15.1592655 - x0)) + 2.0703857"
11,45.724766,"sqrt(sqrt(x0)) + exp((15.174254 - x0) + sin(x0))"
12,45.669876,"(sqrt(x0) + exp((15.229952 - x0) + sin(x0))) - 2.360803"
14,45.553352,"exp((15.673992 - x0) + sin(x0 + cos(x0 + -3.1299853))) + 2.0599065"
15,45.461597,"exp((15.649861 - x0) + sin(x0 + sin(cos(x0 + -3.1764312)))) + 2.043871"
16,45.327133,"exp((cos((x0 + -1.164122) - sin(x0 + 1.2307941)) + 15.526116) - x0) + 2.0816028"
18,45.32705,"exp(((cos((x0 + -1.1657926) - sin(x0 + 1.2290804)) + 15.522616) - x0) - -0.0051873634) + 2.0754101"
19,45.19782,"exp((15.035609 - (x0 + cos(x0 + -3.7923055))) + sin(x0 + cos(x0 + -3.6375322))) + 2.0994475"
21,45.197735,"exp((sin(x0 - cos(x0 + -0.49821705)) + (12.685303 - (x0 + -2.3534422))) - cos(x0 + -3.793558)) + 2.095592"
22,45.139942,"exp(exp((sin(x0 - cos(x0 + -1.0826155)) + (6.7632732 - (x0 + -6.7621613))) - cos(x0 + -4.26194))) + 1.1195925"
23,45.111294,"sqrt(exp(exp((sin(x0 - cos(x0 + -1.1840633)) - (x0 + -7.123214)) - (cos(x0 + -4.354172) - 7.124632))) - -3.5477374)"
24,45.098362,"exp((sin(x0 - cos(x0 + sin(-0.98666173 - x0))) + (12.547862 - (x0 + -2.4858344))) - cos(x0 + -3.9592152)) + 2.1034768"
26,45.09634,"exp(((sin(x0 - cos(x0 + (-0.1447073 - sin(x0 + 1.1553631)))) + 12.411661) - (x0 + -2.5710564)) - cos(x0 + -4.0695705)) + 2.1074753"
27,45.073666,"exp(sin(x0 - cos(x0 + sin(-0.39212576 - cos(x0 + 6.042723)))) + ((12.503141 - (x0 + -2.5030463)) - cos(x0 + -4.0412483))) + 2.1028833"
28,45.057014,"exp(exp(sin(x0 - cos(x0 + sin(-0.7231799 - x0))) + (7.833113 - (x0 + (-5.366036 - cos(sin(x0 + (x1 + 0.2222704))))))) + 0.74640965)"
